"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","63","12","77","20"
"Asian","68","14","80","22"
"Bangladeshi","67","13","80","21"
"Indian","77","19","87","29"
"Pakistani","61","9","75","16"
"Asian other","71","16","81","23"
"Black","65","12","78","20"
"Black African","67","13","80","22"
"Black Caribbean","57","8","74","16"
"Black other","63","10","76","18"
"Chinese","79","25","87","37"
"Mixed","66","14","78","22"
"Mixed White/Asian","71","17","83","27"
"Mixed White/Black African","67","14","79","21"
"Mixed White/Black Caribbean","57","8","73","15"
"Mixed other","67","15","79","23"
"White","63","11","76","20"
"White British","63","12","77","20"
"White Irish","64","14","77","24"
"Gypsy/Roma","19","1","31","2"
"Irish Traveller","18","1","30","2"
"White other","61","11","73","18"
"Other","59","9","71","16"
"Unknown","47","8","59","15"
