"Gender","Ethnicity","FSM","Non-FSM"
"Boys","All","45","66"
"Boys","Asian","57","69"
"Boys","Bangladeshi","60","69"
"Boys","Indian","61","77"
"Boys","Pakistani","55","62"
"Boys","Asian other","57","72"
"Boys","Black","59","67"
"Boys","Black African","62","69"
"Boys","Black Caribbean","49","60"
"Boys","Black other","58","64"
"Boys","Chinese","65","80"
"Boys","Mixed","50","69"
"Boys","Mixed White/Asian","52","74"
"Boys","Mixed White/Black African","56","69"
"Boys","Mixed White/Black Caribbean","44","61"
"Boys","Mixed other","54","70"
"Boys","White","41","66"
"Boys","White British","42","67"
"Boys","White Irish","33","69"
"Boys","Gypsy/Roma","18","19"
"Boys","Irish Traveller","14","24"
"Boys","White other","49","62"
"Boys","Other","50","62"
"Boys","Unknown","44","48"
"Girls","All","61","79"
"Girls","Asian","72","81"
"Girls","Bangladeshi","77","80"
"Girls","Indian","76","87"
"Girls","Pakistani","69","76"
"Girls","Asian other","70","82"
"Girls","Black","72","80"
"Girls","Black African","74","81"
"Girls","Black Caribbean","66","77"
"Girls","Black other","68","78"
"Girls","Chinese","80","88"
"Girls","Mixed","67","81"
"Girls","Mixed White/Asian","69","85"
"Girls","Mixed White/Black African","70","81"
"Girls","Mixed White/Black Caribbean","64","77"
"Girls","Mixed other","67","82"
"Girls","White","58","79"
"Girls","White British","58","80"
"Girls","White Irish","52","82"
"Girls","Gypsy/Roma","33","30"
"Girls","Irish Traveller","23","39"
"Girls","White other","62","74"
"Girls","Other","63","72"
"Girls","Unknown","64","58"
