"Ethnicity","Geography","boys","girls"
"Asian","Devon","59","96"
"Asian","Doncaster","67","75"
"Asian","Dorset","73","89"
"Asian","Dudley","57","75"
"Asian","Ealing","69","79"
"Asian","East Riding of Yorkshire","75","85"
"Asian","East Sussex","77","82"
"Asian","Enfield","77","80"
"Asian","Essex","81","86"
"Asian","Gateshead","86","91"
"Asian","Gloucestershire","66","82"
"Asian","Greenwich","78","88"
"Asian","Hackney","80","86"
"Asian","Halton","50","N/A"
"Asian","Hammersmith and Fulham","70","88"
"Asian","Hampshire","78","86"
"Asian","Haringey","78","84"
"Asian","Harrow","77","85"
"Asian","Hartlepool","70","83"
"Asian","Havering","80","89"
"Asian","Herefordshire, County of","78","82"
"Asian","Hertfordshire","73","84"
"Asian","Hillingdon","72","84"
"Asian","Hounslow","79","86"
"Asian","Isle of Wight","100","100"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","69","87"
"Asian","Kensington and Chelsea","80","90"
"Asian","Kent","77","90"
"Asian","Kingston upon Hull, City of","95","70"
"Asian","Kingston upon Thames","67","82"
"Asian","Kirklees","62","78"
"Asian","Knowsley","78","79"
"Asian","Lambeth","71","84"
"Asian","Lancashire","63","75"
"Asian","Leeds","57","70"
"Asian","Leicester","66","76"
"Asian","Leicestershire","72","86"
"Asian","Lewisham","71","85"
"Asian","Lincolnshire","80","92"
"Asian","Liverpool","67","81"
"Asian","Luton","60","77"
"Asian","Manchester","61","74"
"Asian","Medway","74","90"
"Asian","Merton","74","84"
"Asian","Middlesbrough","60","74"
"Asian","Milton Keynes","73","86"
"Asian","Newcastle upon Tyne","64","82"
"Asian","Newham","74","84"
"Asian","Norfolk","69","76"
"Asian","North East Lincolnshire","89","67"
"Asian","North Lincolnshire","78","88"
"Asian","North Somerset","67","65"
"Asian","North Tyneside","81","84"
"Asian","North Yorkshire","74","76"
"Asian","Northamptonshire","66","72"
"Asian","Northumberland","93","83"
"Asian","Nottingham","61","75"
"Asian","Nottinghamshire","70","80"
"Asian","Oldham","53","70"
"Asian","Oxfordshire","64","78"
"Asian","Peterborough","57","71"
"Asian","Plymouth","50","100"
"Asian","Poole","79","87"
"Asian","Portsmouth","69","80"
"Asian","Reading","77","82"
"Asian","Redbridge","77","86"
"Asian","Redcar and Cleveland","67","100"
"Asian","Richmond upon Thames","77","89"
"Asian","Rochdale","59","73"
"Asian","Rotherham","66","82"
"Asian","Rutland","80","67"
"Asian","Salford","63","88"
"Asian","Sandwell","67","77"
"Asian","Sefton","63","94"
"Asian","Sheffield","64","77"
"Asian","Shropshire","71","84"
"Asian","Slough","74","86"
"Asian","Solihull","67","89"
"Asian","Somerset","68","97"
"Asian","South Gloucestershire","85","93"
"Asian","South Tyneside","75","80"
"Asian","Southampton","67","80"
"Asian","Southend-on-Sea","80","73"
"Asian","Southwark","75","86"
"Asian","St. Helens","67","92"
"Asian","Staffordshire","64","82"
"Asian","Stockport","64","68"
"Asian","Stockton-on-Tees","68","80"
"Asian","Stoke-on-Trent","63","76"
"Asian","Suffolk","68","85"
"Asian","Sunderland","67","75"
"Asian","Surrey","70","81"
"Asian","Sutton","84","93"
"Asian","Swindon","71","87"
"Asian","Tameside","63","72"
"Asian","Telford and Wrekin","68","86"
"Asian","Thurrock","79","81"
"Asian","Torbay","71","75"
"Asian","Tower Hamlets","68","81"
"Asian","Trafford","68","80"
"Asian","Wakefield","68","75"
"Asian","Walsall","62","81"
"Asian","Waltham Forest","76","86"
"Asian","Wandsworth","70","85"
"Asian","Warrington","81","86"
"Asian","Warwickshire","74","87"
"Asian","West Berkshire","73","91"
"Asian","West Sussex","59","76"
"Asian","Westminster","71","82"
"Asian","Wigan","75","56"
"Asian","Wiltshire","81","81"
"Asian","Windsor and Maidenhead","68","77"
"Asian","Wirral","76","84"
"Asian","Wokingham","81","88"
"Asian","Wolverhampton","72","84"
"Asian","Worcestershire","67","80"
"Asian","York","75","88"
"Black","Barking and Dagenham","70","85"
"Black","Barnet","65","80"
"Black","Barnsley","50","80"
"Black","Bath and North East Somerset","33","44"
"Black","Bedford","76","82"
"Black","Bexley","79","88"
"Black","Birmingham","62","72"
"Black","Blackburn with Darwen","50","95"
"Black","Blackpool","67","33"
"Black","Bolton","45","68"
"Black","Bournemouth","73","100"
"Black","Bracknell Forest","65","79"
"Black","Bradford","44","72"
"Black","Brent","59","74"
"Black","Brighton and Hove","59","83"
"Black","Bristol, City of","56","63"
"Black","Bromley","61","78"
"Black","Buckinghamshire","62","74"
"Black","Bury","70","67"
"Black","Calderdale","60","73"
"Black","Cambridgeshire","46","76"
"Black","Camden","59","74"
"Black","Central Bedfordshire","67","88"
"Black","Cheshire East","60","91"
"Black","Cheshire West and Chester","73","67"
"Black","City of London","!","!"
"Black","Cornwall","N/A","0"
"Black","County Durham","40","100"
"Black","Coventry","61","75"
"Black","Croydon","67","80"
"Black","Cumbria","0","67"
"Black","Darlington","75","67"
"Black","Derby","68","83"
"Black","Derbyshire","58","64"
"Black","Devon","17","88"
"Black","Doncaster","63","95"
"Black","Dorset","50","0"
"Black","Dudley","58","77"
"Black","Ealing","58","70"
"Black","East Riding of Yorkshire","0","67"
"Black","East Sussex","68","76"
"Black","Enfield","62","78"
"Black","Essex","66","90"
"Black","Gateshead","50","94"
"Black","Gloucestershire","62","74"
"Black","Greenwich","74","87"
"Black","Hackney","70","86"
"Black","Halton","N/A","100"
"Black","Hammersmith and Fulham","62","72"
"Black","Hampshire","63","81"
"Black","Haringey","67","83"
"Black","Harrow","54","76"
"Black","Hartlepool","100","100"
"Black","Havering","66","82"
"Black","Herefordshire, County of","100","100"
"Black","Hertfordshire","68","76"
"Black","Hillingdon","65","73"
