"Ethnicity","Expected standard","Higher standard"
"All","70","16"
"Asian","74","18"
"Bangladeshi","73","17"
"Indian","81","24"
"Pakistani","68","13"
"Asian other","76","19"
"Black","72","16"
"Black African","74","18"
"Black Caribbean","66","12"
"Black other","69","14"
"Chinese","83","31"
"Mixed","72","18"
"Mixed White/Asian","77","22"
"Mixed White/Black African","73","18"
"Mixed White/Black Caribbean","65","12"
"Mixed other","73","19"
"White","69","16"
"White British","70","16"
"White Irish","70","19"
"Gypsy/Roma","25","1"
"Irish Traveller","24","1"
"White other","67","14"
"Other","65","13"
"Unknown","53","11"
