"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","53","73"
"Asian","64","75"
"Bangladeshi","68","74"
"Indian","68","82"
"Pakistani","62","69"
"Asian other","63","77"
"Black","65","73"
"Black African","68","75"
"Black Caribbean","58","68"
"Black other","63","71"
"Chinese","71","84"
"Mixed","59","75"
"Mixed White/Asian","61","79"
"Mixed White/Black African","64","75"
"Mixed White/Black Caribbean","54","69"
"Mixed other","61","76"
"White","49","72"
"White British","50","73"
"White Irish","42","75"
"Gypsy/Roma","25","24"
"Irish Traveller","19","31"
"White other","55","67"
"Other","56","67"
"Unknown","53","53"
