"Ethnicity","Geography","%"
"Asian","Islington","78"
"Asian","Kensington and Chelsea","85"
"Asian","Kent","83"
"Asian","Kingston upon Hull, City of","81"
"Asian","Kingston upon Thames","75"
"Asian","Kirklees","70"
"Asian","Knowsley","78"
"Asian","Lambeth","76"
"Asian","Lancashire","69"
"Asian","Leeds","63"
"Asian","Leicester","71"
"Asian","Leicestershire","80"
"Asian","Lewisham","77"
"Asian","Lincolnshire","86"
"Asian","Liverpool","75"
"Asian","Luton","68"
"Asian","Manchester","67"
"Asian","Medway","81"
"Asian","Merton","79"
"Asian","Middlesbrough","67"
"Asian","Milton Keynes","79"
"Asian","Newcastle upon Tyne","72"
"Asian","Newham","79"
"Asian","Norfolk","73"
"Asian","North East Lincolnshire","80"
"Asian","North Lincolnshire","83"
"Asian","North Somerset","66"
"Asian","North Tyneside","82"
"Asian","North Yorkshire","75"
"Asian","Northamptonshire","69"
"Asian","Northumberland","88"
"Asian","Nottingham","67"
"Asian","Nottinghamshire","75"
"Asian","Oldham","61"
"Asian","Oxfordshire","71"
"Asian","Peterborough","64"
"Asian","Plymouth","73"
"Asian","Poole","83"
"Asian","Portsmouth","74"
"Asian","Reading","79"
"Asian","Redbridge","81"
"Asian","Redcar and Cleveland","80"
"Asian","Richmond upon Thames","82"
"Asian","Rochdale","66"
"Asian","Rotherham","74"
"Asian","Rutland","75"
"Asian","Salford","76"
"Asian","Sandwell","72"
"Asian","Sefton","75"
"Asian","Sheffield","70"
"Asian","Shropshire","79"
"Asian","Slough","80"
"Asian","Solihull","78"
"Asian","Somerset","82"
"Asian","South Gloucestershire","89"
"Asian","South Tyneside","78"
"Asian","Southampton","73"
"Asian","Southend-on-Sea","76"
"Asian","Southwark","81"
"Asian","St. Helens","82"
"Asian","Staffordshire","72"
"Asian","Stockport","66"
"Asian","Stockton-on-Tees","73"
"Asian","Stoke-on-Trent","69"
"Asian","Suffolk","76"
"Asian","Sunderland","70"
"Asian","Surrey","75"
"Asian","Sutton","89"
"Asian","Swindon","79"
"Asian","Tameside","67"
"Asian","Telford and Wrekin","78"
"Asian","Thurrock","80"
"Asian","Torbay","73"
"Asian","Tower Hamlets","75"
"Asian","Trafford","74"
"Asian","Wakefield","72"
"Asian","Walsall","71"
"Asian","Waltham Forest","81"
"Asian","Wandsworth","77"
"Asian","Warrington","83"
"Asian","Warwickshire","81"
"Asian","West Berkshire","83"
"Asian","West Sussex","68"
"Asian","Westminster","76"
"Asian","Wigan","62"
"Asian","Wiltshire","81"
"Asian","Windsor and Maidenhead","73"
"Asian","Wirral","80"
"Asian","Wokingham","85"
"Asian","Wolverhampton","77"
"Asian","Worcestershire","73"
"Asian","York","80"
"Black","Barking and Dagenham","77"
"Black","Barnet","72"
"Black","Barnsley","63"
"Black","Bath and North East Somerset","40"
"Black","Bedford","79"
"Black","Bexley","83"
"Black","Birmingham","67"
"Black","Blackburn with Darwen","76"
"Black","Blackpool","50"
"Black","Bolton","57"
"Black","Bournemouth","85"
"Black","Bracknell Forest","71"
"Black","Bradford","61"
"Black","Brent","66"
"Black","Brighton and Hove","73"
"Black","Bristol, City of","59"
"Black","Bromley","70"
"Black","Buckinghamshire","68"
"Black","Bury","68"
"Black","Calderdale","67"
"Black","Cambridgeshire","58"
"Black","Camden","67"
"Black","Central Bedfordshire","77"
"Black","Cheshire East","81"
"Black","Cheshire West and Chester","71"
"Black","City of London","!"
"Black","Cornwall","0"
"Black","County Durham","50"
"Black","Coventry","67"
"Black","Croydon","73"
"Black","Cumbria","50"
"Black","Darlington","70"
"Black","Derby","77"
"Black","Derbyshire","61"
"Black","Devon","57"
"Black","Doncaster","76"
"Black","Dorset","25"
"Black","Dudley","69"
"Black","Ealing","64"
"Black","East Riding of Yorkshire","40"
"Black","East Sussex","71"
"Black","Enfield","70"
"Black","Essex","77"
"Black","Gateshead","86"
"Black","Gloucestershire","69"
"Black","Greenwich","81"
"Black","Hackney","77"
"Black","Halton","100"
"Black","Hammersmith and Fulham","68"
"Black","Hampshire","73"
"Black","Haringey","75"
"Black","Harrow","66"
"Black","Hartlepool","100"
"Black","Havering","74"
"Black","Herefordshire, County of","100"
"Black","Hertfordshire","72"
"Black","Hillingdon","69"
"Black","Hounslow","70"
"Black","Isle of Wight","0"
"Black","Isles of Scilly","!"
"Black","Islington","68"
"Black","Kensington and Chelsea","69"
"Black","Kent","84"
"Black","Kingston upon Hull, City of","63"
"Black","Kingston upon Thames","67"
"Black","Kirklees","63"
