"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Grade","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Administrative officers and assistants","7.0","7,560","3.4","3,700","0.3","290","1.5","1,590","87.4","94,840","0.5","540"
"Executive officer","7.8","7,280","4.2","3,910","0.3","250","1.6","1,520","85.5","79,440","0.6","530"
"Senior and higher executive officer","6.1","5,580","3.1","2,860","0.4","350","1.9","1,740","87.9","80,310","0.6","550"
"Grades 6 & 7","4.9","2,010","2.0","830","0.4","160","2.3","920","89.7","36,490","0.7","290"
"Senior Civil Service Level","4.2","210","1.3","70","0.3","20","1.7","90","91.9","4,550","0.5","20"
"Unknown","N/A","540","N/A","620","N/A","20","N/A","290","N/A","9,230","N/A","50"
