"Ethnicity","Geography","Rate per 1,000","Number of arrests"
"All","All","12","671,126"
"All","Avon and Somerset","10","15,745"
"All","Bedfordshire","11","6,472"
"All","Cambridgeshire","10","7,751"
"All","Cheshire","11","11,046"
"All","Cleveland","17","9,703"
"All","Cumbria","15","7,512"
"All","Derbyshire","10","10,383"
"All","Devon and Cornwall","7","11,719"
"All","Dorset","9","6,573"
"All","Durham","14","8,775"
"All","Dyfed-Powys","10","5,070"
"All","Essex","10","16,652"
"All","Gloucestershire","8","4,706"
"All","Greater Manchester","10","26,321"
"All","Gwent","12","6,869"
"All","Hampshire","9","17,706"
"All","Hertfordshire","10","11,394"
"All","Humberside","21","18,958"
"All","Kent","17","29,772"
"All","Lancashire","N/A","N/A"
"All","Leicestershire","11","11,476"
"All","Lincolnshire","12","8,581"
"All","London, City of","N/A","1,519"
"All","Merseyside","14","19,322"
"All","Metropolitan Police","14","112,779"
"All","Norfolk","12","10,071"
"All","North Wales","16","11,229"
"All","North Yorkshire","13","10,047"
"All","Northamptonshire","14","9,759"
"All","Northumbria","15","20,831"
"All","Nottinghamshire","13","13,739"
"All","South Wales","17","21,897"
"All","South Yorkshire","12","15,591"
"All","Staffordshire","11","11,559"
"All","Suffolk","10","7,345"
"All","Surrey","8","9,507"
"All","Sussex","11","17,160"
"All","Thames Valley","14","31,373"
"All","Warwickshire","9","4,869"
"All","West Mercia","9","10,446"
"All","West Midlands","13","36,627"
"All","West Yorkshire","16","34,684"
"All","Wiltshire","11","7,588"
"Asian","All","12","42,872"
"Asian","Avon and Somerset","12","405"
"Asian","Bedfordshire","8","644"
"Asian","Cambridgeshire","8","330"
"Asian","Cheshire","12","159"
"Asian","Cleveland","18","316"
"Asian","Cumbria","19","55"
"Asian","Derbyshire","17","640"
"Asian","Devon and Cornwall","14","161"
"Asian","Dorset","11","115"
"Asian","Durham","18","94"
"Asian","Dyfed-Powys","12","50"
"Asian","Essex","10","399"
"Asian","Gloucestershire","14","145"
"Asian","Greater Manchester","10","2,392"
"Asian","Gwent","21","214"
"Asian","Hampshire","8","470"
"Asian","Hertfordshire","6","391"
"Asian","Humberside","9","110"
"Asian","Kent","11","606"
"Asian","Lancashire","N/A","N/A"
"Asian","Leicestershire","10","1,512"
"Asian","Lincolnshire","15","86"
"Asian","London, City of","N/A","197"
"Asian","Merseyside","15","282"
"Asian","Metropolitan Police","11","14,750"
"Asian","Norfolk","9","85"
"Asian","North Wales","10","61"
"Asian","North Yorkshire","12","119"
"Asian","Northamptonshire","13","304"
"Asian","Northumbria","15","553"
"Asian","Nottinghamshire","11","523"
"Asian","South Wales","14","510"
"Asian","South Yorkshire","9","467"
"Asian","Staffordshire","19","659"
"Asian","Suffolk","8","90"
"Asian","Surrey","10","550"
"Asian","Sussex","10","399"
"Asian","Thames Valley","15","2,959"
"Asian","Warwickshire","4","83"
"Asian","West Mercia","4","86"
"Asian","West Midlands","12","5,795"
"Asian","West Yorkshire","18","4,931"
"Asian","Wiltshire","10","175"
"Black","All","32","60,116"
"Black","Avon and Somerset","41","1,277"
"Black","Bedfordshire","18","529"
"Black","Cambridgeshire","30","301"
"Black","Cheshire","75","244"
"Black","Cleveland","65","205"
"Black","Cumbria","109","63"
"Black","Derbyshire","52","522"
"Black","Devon and Cornwall","60","246"
"Black","Dorset","108","348"
"Black","Durham","58","61"
"Black","Dyfed-Powys","78","67"
"Black","Essex","32","1,126"
"Black","Gloucestershire","66","342"
"Black","Greater Manchester","26","1,917"
"Black","Gwent","62","198"
"Black","Hampshire","54","946"
"Black","Hertfordshire","17","527"
"Black","Humberside","26","117"
"Black","Kent","45","1,026"
"Black","Lancashire","N/A","N/A"
"Black","Leicestershire","45","1,117"
"Black","Lincolnshire","74","190"
"Black","London, City of","N/A","212"
"Black","Merseyside","49","713"
"Black","Metropolitan Police","29","31,972"
"Black","Norfolk","58","268"
"Black","North Wales","64","96"
"Black","North Yorkshire","33","118"
"Black","Northamptonshire","57","973"
"Black","Northumbria","50","448"
"Black","Nottinghamshire","38","1,037"
"Black","South Wales","56","708"
"Black","South Yorkshire","17","427"
"Black","Staffordshire","53","449"
"Black","Suffolk","37","253"
"Black","Surrey","49","607"
"Black","Sussex","68","962"
"Black","Thames Valley","41","2,830"
"Black","Warwickshire","18","79"
"Black","West Mercia","11","54"
"Black","West Midlands","29","4,677"
"Black","West Yorkshire","32","1,497"
"Black","Wiltshire","60","367"
"Mixed","All","18","21,832"
"Mixed","Avon and Somerset","21","582"
"Mixed","Bedfordshire","14","251"
"Mixed","Cambridgeshire","12","189"
"Mixed","Cheshire","11","113"
"Mixed","Cleveland","14","81"
"Mixed","Cumbria","26","64"
"Mixed","Derbyshire","24","346"
"Mixed","Devon and Cornwall","8","127"
"Mixed","Dorset","14","134"
"Mixed","Durham","14","61"
"Mixed","Dyfed-Powys","15","49"
"Mixed","Essex","23","624"
"Mixed","Gloucestershire","20","169"
"Mixed","Greater Manchester","17","1,028"
"Mixed","Gwent","10","57"
"Mixed","Hampshire","16","507"
"Mixed","Hertfordshire","14","378"
"Mixed","Humberside","11","86"
"Mixed","Kent","16","432"
"Mixed","Lancashire","N/A","N/A"
"Mixed","Leicestershire","12","245"
"Mixed","Lincolnshire","19","118"
"Mixed","London, City of","N/A","81"
"Mixed","Merseyside","12","257"
"Mixed","Metropolitan Police","17","6,994"
"Mixed","Norfolk","12","124"
"Mixed","North Wales","23","113"
"Mixed","North Yorkshire","20","151"
"Mixed","Northamptonshire","24","336"
"Mixed","Northumbria","10","120"
"Mixed","Nottinghamshire","18","561"
"Mixed","South Wales","20","350"
"Mixed","South Yorkshire","10","218"
"Mixed","Staffordshire","24","343"
"Mixed","Suffolk","8","99"
"Mixed","Surrey","12","281"
"Mixed","Sussex","16","476"
"Mixed","Thames Valley","33","1,830"
"Mixed","Warwickshire","6","47"
"Mixed","West Mercia","4","59"
"Mixed","West Midlands","22","2,150"
