"Ethnicity","Local Authority","Rate","Number"
"Asian","Wolverhampton","0.05","5"
"Asian","Worcestershire","0.00","0"
"Asian","York","0.00","0"
"Black","Barking and Dagenham","0.09","10"
"Black","Barnet","0.11","7"
"Black","Barnsley","0.00","0"
"Black","Bath and North East Somerset","0.00","0"
"Black","Bedford","0.18","3"
"Black","Bexley","0.08","6"
"Black","Birmingham","0.19","47"
"Black","Blackburn with Darwen","0.31","1"
"Black","Blackpool","0.00","0"
"Black","Bolton","0.16","5"
"Black","Bournemouth","0.00","0"
"Black","Bracknell Forest","0.00","0"
"Black","Bradford","0.12","2"
"Black","Brent","0.10","10"
"Black","Brighton and Hove","0.15","1"
"Black","Bristol City of","0.03","2"
"Black","Bromley","0.26","14"
"Black","Buckinghamshire","0.13","3"
"Black","Bury","0.00","0"
"Black","Calderdale","0.00","0"
"Black","Cambridgeshire","0.00","0"
"Black","Camden","0.16","7"
"Black","Central Bedfordshire","0.45","5"
"Black","Cheshire East","0.00","0"
"Black","Cheshire West and Chester","0.00","0"
"Black","City of London","0.00","0"
"Black","Cornwall","0.00","0"
"Black","Coventry","0.06","4"
"Black","Croydon","0.10","16"
"Black","Cumbria","0.00","0"
"Black","Darlington","0.00","0"
"Black","Derby","0.18","3"
"Black","Derbyshire","0.26","1"
"Black","Devon","0.00","0"
"Black","Doncaster","0.51","3"
"Black","Dorset","0.00","0"
"Black","Dudley","0.31","4"
"Black","Durham","0.00","0"
"Black","Ealing","0.17","14"
"Black","East Riding of Yorkshire","0.00","0"
"Black","East Sussex","0.00","0"
"Black","Enfield","0.01","2"
"Black","Essex","0.06","4"
"Black","Gateshead","0.42","2"
"Black","Gloucestershire","0.15","2"
"Black","Greenwich","0.07","10"
"Black","Hackney","0.19","22"
"Black","Halton","0.00","0"
"Black","Hammersmith and Fulham","0.13","6"
"Black","Hampshire","0.00","0"
"Black","Haringey","0.14","12"
"Black","Harrow","0.24","9"
"Black","Hartlepool","0.00","0"
"Black","Havering","0.09","4"
"Black","Herefordshire","0.00","0"
"Black","Hertfordshire","0.18","15"
"Black","Hillingdon","0.19","10"
"Black","Hounslow","0.08","4"
"Black","Isle of Wight","0.00","0"
"Black","Isles Of Scilly","0.00","0"
"Black","Islington","0.07","4"
"Black","Kensington and Chelsea","0.25","6"
"Black","Kent","0.00","0"
"Black","Kingston upon Hull City of","0.00","0"
"Black","Kingston upon Thames","0.00","0"
"Black","Kirklees","0.15","2"
"Black","Knowsley","0.00","0"
"Black","Lambeth","0.06","9"
"Black","Lancashire","0.13","1"
"Black","Leeds","0.00","0"
"Black","Leicester","0.02","1"
"Black","Leicestershire","0.08","1"
"Black","Lewisham","0.08","12"
"Black","Lincolnshire","0.20","1"
"Black","Liverpool","0.18","6"
"Black","Luton","0.20","8"
"Black","Manchester","0.07","10"
"Black","Medway","0.13","4"
"Black","Merton","0.18","7"
"Black","Middlesbrough","0.21","1"
"Black","Milton Keynes","0.02","1"
"Black","Newcastle upon Tyne","0.05","1"
"Black","Newham","0.16","21"
"Black","Norfolk","0.09","1"
"Black","North East Lincolnshire","0.00","0"
"Black","North Lincolnshire","0.00","0"
"Black","North Somerset","0.50","1"
"Black","North Tyneside","0.00","0"
"Black","North Yorkshire","0.00","0"
"Black","Northamptonshire","0.12","7"
"Black","Northumberland","0.00","0"
"Black","Nottingham","0.04","2"
"Black","Nottinghamshire","0.06","1"
"Black","Oldham","0.06","1"
"Black","Oxfordshire","0.20","5"
"Black","Peterborough","0.07","1"
"Black","Plymouth","0.00","0"
"Black","Poole","0.00","0"
"Black","Portsmouth","0.00","0"
"Black","Reading","0.15","3"
"Black","Redbridge","0.22","13"
"Black","Redcar and Cleveland","0.00","0"
"Black","Richmond upon Thames","0.12","1"
"Black","Rochdale","0.06","1"
"Black","Rotherham","0.00","0"
"Black","Rutland","0.00","0"
"Black","Salford","0.05","1"
"Black","Sandwell","0.14","8"
"Black","Sefton","0.00","0"
"Black","Sheffield","0.08","4"
"Black","Shropshire","0.00","0"
"Black","Slough","0.00","0"
"Black","Solihull","0.34","3"
"Black","Somerset","0.40","1"
"Black","South Gloucestershire","0.40","3"
"Black","South Tyneside","0.00","0"
"Black","Southampton","0.00","0"
"Black","Southend-on-Sea","0.00","0"
"Black","Southwark","0.10","18"
"Black","St. Helens","0.00","0"
"Black","Staffordshire","0.00","0"
"Black","Stockport","0.18","1"
"Black","Stockton-on-Tees","0.00","0"
"Black","Stoke-on-Trent","0.07","1"
"Black","Suffolk","0.10","1"
"Black","Sunderland","0.00","0"
"Black","Surrey","0.00","0"
"Black","Sutton","0.13","4"
"Black","Swindon","0.09","1"
"Black","Tameside","0.11","1"
"Black","Telford and Wrekin","0.00","0"
"Black","Thurrock","0.17","7"
"Black","Torbay","0.00","0"
"Black","Tower Hamlets","0.00","0"
"Black","Trafford","0.26","4"
"Black","Wakefield","0.26","2"
"Black","Walsall","0.22","6"
"Black","Waltham Forest","0.15","12"
"Black","Wandsworth","0.11","8"
"Black","Warrington","0.00","0"
"Black","Warwickshire","0.09","1"
"Black","West Berkshire","0.24","1"
"Black","West Sussex","0.23","4"
"Black","Westminster","0.35","15"
"Black","Wigan","0.00","0"
"Black","Wiltshire","0.10","1"
"Black","Windsor and Maidenhead","0.00","0"
"Black","Wirral","1.03","2"
"Black","Wokingham","0.12","1"
"Black","Wolverhampton","0.28","14"
"Black","Worcestershire","0.22","1"
"Black","York","0.00","0"
"Chinese","Barking and Dagenham","0.00","0"
"Chinese","Barnet","0.00","0"
"Chinese","Barnsley","0.00","0"
"Chinese","Bath and North East Somerset","0.00","0"
"Chinese","Bedford","0.00","0"
"Chinese","Bexley","0.00","0"
"Chinese","Birmingham","0.00","0"
"Chinese","Blackburn with Darwen","0.00","0"
"Chinese","Blackpool","0.00","0"
"Chinese","Bolton","0.00","0"
