"Ethnicity","Local Authority","Rate","Number"
"White","Wokingham","0.11","21"
"White","Wolverhampton","0.22","51"
"White","Worcestershire","0.10","71"
"White","York","0.08","18"
"Other","Barking and Dagenham","0.13","1"
"Other","Barnet","0.10","6"
"Other","Barnsley","0.00","0"
"Other","Bath and North East Somerset","0.67","1"
"Other","Bedford","0.00","0"
"Other","Bexley","0.17","1"
"Other","Birmingham","0.05","5"
"Other","Blackburn with Darwen","0.00","0"
"Other","Blackpool","0.00","0"
"Other","Bolton","0.63","6"
"Other","Bournemouth","0.60","2"
"Other","Bracknell Forest","0.00","0"
"Other","Bradford","0.00","0"
"Other","Brent","0.15","8"
"Other","Brighton and Hove","0.00","0"
"Other","Bristol City of","0.00","0"
"Other","Bromley","0.00","0"
"Other","Buckinghamshire","0.00","0"
"Other","Bury","0.00","0"
"Other","Calderdale","0.00","0"
"Other","Cambridgeshire","0.00","0"
"Other","Camden","0.00","0"
"Other","Central Bedfordshire","0.00","0"
"Other","Cheshire East","0.00","0"
"Other","Cheshire West and Chester","0.00","0"
"Other","City of London","0.00","0"
"Other","Cornwall","0.00","0"
"Other","Coventry","0.00","0"
"Other","Croydon","0.00","0"
"Other","Cumbria","0.00","0"
"Other","Darlington","0.00","0"
"Other","Derby","0.12","1"
"Other","Derbyshire","0.00","0"
"Other","Devon","0.00","0"
"Other","Doncaster","0.20","1"
"Other","Dorset","0.64","1"
"Other","Dudley","0.11","1"
"Other","Durham","0.00","0"
"Other","Ealing","0.16","13"
"Other","East Riding of Yorkshire","0.00","0"
"Other","East Sussex","0.00","0"
"Other","Enfield","0.03","1"
"Other","Essex","0.00","0"
"Other","Gateshead","0.00","0"
"Other","Gloucestershire","0.00","0"
"Other","Greenwich","0.00","0"
"Other","Hackney","0.14","3"
"Other","Halton","0.00","0"
"Other","Hammersmith and Fulham","0.00","0"
"Other","Hampshire","0.00","0"
"Other","Haringey","0.11","3"
"Other","Harrow","0.22","4"
"Other","Hartlepool","0.00","0"
"Other","Havering","0.55","2"
"Other","Herefordshire","0.00","0"
"Other","Hertfordshire","0.05","1"
"Other","Hillingdon","0.10","4"
"Other","Hounslow","0.04","2"
"Other","Isle of Wight","0.00","0"
"Other","Isles Of Scilly","0.00","0"
"Other","Islington","0.00","0"
"Other","Kensington and Chelsea","0.09","2"
"Other","Kent","0.00","0"
"Other","Kingston upon Hull City of","0.00","0"
"Other","Kingston upon Thames","0.06","1"
"Other","Kirklees","0.14","1"
"Other","Knowsley","0.00","0"
"Other","Lambeth","0.10","2"
"Other","Lancashire","0.00","0"
"Other","Leeds","0.00","0"
"Other","Leicester","0.07","1"
"Other","Leicestershire","0.00","0"
"Other","Lewisham","0.00","0"
"Other","Lincolnshire","0.00","0"
"Other","Liverpool","0.12","4"
"Other","Luton","0.00","0"
"Other","Manchester","0.05","3"
"Other","Medway","0.00","0"
"Other","Merton","0.00","0"
"Other","Middlesbrough","0.00","0"
"Other","Milton Keynes","0.00","0"
"Other","Newcastle upon Tyne","0.00","0"
"Other","Newham","0.06","2"
"Other","Norfolk","0.00","0"
"Other","North East Lincolnshire","0.00","0"
"Other","North Lincolnshire","0.00","0"
"Other","North Somerset","0.00","0"
"Other","North Tyneside","0.00","0"
"Other","North Yorkshire","0.31","1"
"Other","Northamptonshire","0.00","0"
"Other","Northumberland","0.00","0"
"Other","Nottingham","0.00","0"
"Other","Nottinghamshire","0.14","1"
"Other","Oldham","0.00","0"
"Other","Oxfordshire","0.07","1"
"Other","Peterborough","0.40","2"
"Other","Plymouth","0.00","0"
"Other","Poole","0.00","0"
"Other","Portsmouth","0.00","0"
"Other","Reading","0.00","0"
"Other","Redbridge","0.00","0"
"Other","Redcar and Cleveland","0.00","0"
"Other","Richmond upon Thames","0.00","0"
"Other","Rochdale","0.00","0"
"Other","Rotherham","0.00","0"
"Other","Rutland","0.00","0"
"Other","Salford","0.17","2"
"Other","Sandwell","0.06","1"
"Other","Sefton","0.00","0"
"Other","Sheffield","0.18","5"
"Other","Shropshire","0.00","0"
"Other","Slough","0.16","2"
"Other","Solihull","0.32","1"
"Other","Somerset","0.79","2"
"Other","South Gloucestershire","0.00","0"
"Other","South Tyneside","0.00","0"
"Other","Southampton","0.00","0"
"Other","Southend-on-Sea","0.00","0"
"Other","Southwark","0.03","1"
"Other","St. Helens","0.00","0"
"Other","Staffordshire","0.00","0"
"Other","Stockport","0.00","0"
"Other","Stockton-on-Tees","0.62","1"
"Other","Stoke-on-Trent","0.13","1"
"Other","Suffolk","0.22","2"
"Other","Sunderland","0.00","0"
"Other","Surrey","0.06","1"
"Other","Sutton","0.13","1"
"Other","Swindon","0.27","1"
"Other","Tameside","0.00","0"
"Other","Telford and Wrekin","0.00","0"
"Other","Thurrock","0.00","0"
"Other","Torbay","0.00","0"
"Other","Tower Hamlets","0.00","0"
"Other","Trafford","0.00","0"
"Other","Wakefield","0.00","0"
"Other","Walsall","0.15","1"
"Other","Waltham Forest","0.12","2"
"Other","Wandsworth","0.00","0"
"Other","Warrington","0.00","0"
"Other","Warwickshire","0.00","0"
"Other","West Berkshire","0.00","0"
"Other","West Sussex","0.15","1"
"Other","Westminster","0.05","3"
"Other","Wigan","0.58","3"
"Other","Wiltshire","0.00","0"
"Other","Windsor and Maidenhead","0.00","0"
"Other","Wirral","0.00","0"
"Other","Wokingham","0.00","0"
"Other","Wolverhampton","0.31","2"
"Other","Worcestershire","0.00","0"
"Other","York","0.00","0"
