"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","special","0.300601202","3","998"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.055220763","23","41651"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.236976852","56","23631"
"Permanent exclusions","201819","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.123717562","82","66280"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","special","0.528634361","12","2270"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.079359742","59","74345"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded secondary","0.467299425","225","48149"
"Permanent exclusions","201819","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.237247924","296","124764"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","special","0","0","2109"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","State-funded primary","0.008415383","8","95064"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","State-funded secondary","0.180332578","113","62662"
"Permanent exclusions","201819","Academic Year","Other","ONS 5+1","England","Total","0.075703069","121","159835"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","special","0.052465897","3","5718"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.006223997","13","208869"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","State-funded secondary","0.134502173","199","147953"
"Permanent exclusions","201819","Academic Year","Pakistani","ONS 18+1","England","Total","0.059303801","215","362540"
"Permanent exclusions","201819","Academic Year","Total","ONS 5+1","England","special","0.059470233","74","124432"
"Permanent exclusions","201819","Academic Year","Total","ONS 5+1","England","State-funded primary","0.022572031","1067","4727089"
"Permanent exclusions","201819","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.202916493","6753","3327970"
"Permanent exclusions","201819","Academic Year","Total","ONS 5+1","England","Total","0.096509673","7894","8179491"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","special","0.15600624","3","1923"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.022554387","11","48771"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","State-funded secondary","0.286175139","165","57657"
"Permanent exclusions","201819","Academic Year","Unclassified","ONS 18+1","England","Total","0.165203828","179","108351"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","special","0.047984645","44","91696"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","State-funded primary","0.024486538","851","3475379"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","State-funded secondary","0.211093165","5143","2436365"
"Permanent exclusions","201819","Academic Year","White","ONS 5+1","England","Total","0.10057567","6038","6003440"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","special","0.048915702","42","85862"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","State-funded primary","0.025720929","796","3094756"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.215149678","4795","2228681"
"Permanent exclusions","201819","Academic Year","White British","ONS 18+1","England","Total","0.10413549","5633","5409299"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","special","0.304878049","1","328"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.025339978","3","11839"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.095456281","10","10476"
"Permanent exclusions","201819","Academic Year","White Irish","ONS 18+1","England","Total","0.061829263","14","22643"
"Permanent exclusions","201819","Academic Year","White other","ONS 18+1","England","special","0.020483408","1","4882"
"Permanent exclusions","201819","Academic Year","White other","ONS 18+1","England","State-funded primary","0.008399248","29","345269"
"Permanent exclusions","201819","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.126282137","237","187675"
"Permanent exclusions","201819","Academic Year","White other","ONS 18+1","England","Total","0.049644309","267","537826"
"Permanent exclusions","201718","Academic Year","All Ethnic Minorities","ONS 18+1","England","special","0.070486652","24","34049"
"Permanent exclusions","201718","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.018345552","286","1558961"
"Permanent exclusions","201718","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded secondary","0.193854282","1911","985792"
"Permanent exclusions","201718","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.086125263","2221","2578802"
"Permanent exclusions","201718","Academic Year","Asian","ONS 5+1","England","special","0.060251334","7","11618"
"Permanent exclusions","201718","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.003448282","18","521999"
"Permanent exclusions","201718","Academic Year","Asian","ONS 5+1","England","State-funded secondary","0.09332763","336","360022"
"Permanent exclusions","201718","Academic Year","Asian","ONS 5+1","England","Total","0.040396625","361","893639"
"Permanent exclusions","201718","Academic Year","Asian other","ONS 18+1","England","special","0.049333991","1","2027"
"Permanent exclusions","201718","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0.00457216","4","87486"
"Permanent exclusions","201718","Academic Year","Asian other","ONS 18+1","England","State-funded secondary","0.07830984","47","60018"
"Permanent exclusions","201718","Academic Year","Asian other","ONS 18+1","England","Total","0.034775398","52","149531"
"Permanent exclusions","201718","Academic Year","Bangladeshi","ONS 18+1","England","special","0.153531218","3","1954"
"Permanent exclusions","201718","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0.00123968","1","80666"
"Permanent exclusions","201718","Academic Year","Bangladeshi","ONS 18+1","England","State-funded secondary","0.092836405","55","59244"
"Permanent exclusions","201718","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.041589128","59","141864"
"Permanent exclusions","201718","Academic Year","Black","ONS 5+1","England","special","0.099626401","8","8030"
"Permanent exclusions","201718","Academic Year","Black","ONS 5+1","England","State-funded primary","0.027515152","72","261674"
"Permanent exclusions","201718","Academic Year","Black","ONS 5+1","England","State-funded secondary","0.267857614","508","189653"
"Permanent exclusions","201718","Academic Year","Black","ONS 5+1","England","Total","0.128005016","588","459357"
"Permanent exclusions","201718","Academic Year","Black African","ONS 18+1","England","special","0.078988942","4","5064"
"Permanent exclusions","201718","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.015093243","27","178888"
"Permanent exclusions","201718","Academic Year","Black African","ONS 18+1","England","State-funded secondary","0.181261581","225","124130"
"Permanent exclusions","201718","Academic Year","Black African","ONS 18+1","England","Total","0.08309476","256","308082"
"Permanent exclusions","201718","Academic Year","Black Caribbean","ONS 18+1","England","special","0.05790388","1","1727"
"Permanent exclusions","201718","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.081937167","38","46377"
"Permanent exclusions","201718","Academic Year","Black Caribbean","ONS 18+1","England","State-funded secondary","0.504125746","212","42053"
"Permanent exclusions","201718","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.27840323","251","90157"
"Permanent exclusions","201718","Academic Year","Black other","ONS 18+1","England","special","0.242130751","3","1239"
"Permanent exclusions","201718","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.019226016","7","36409"
"Permanent exclusions","201718","Academic Year","Black other","ONS 18+1","England","State-funded secondary","0.302513847","71","23470"
"Permanent exclusions","201718","Academic Year","Black other","ONS 18+1","England","Total","0.132530515","81","61118"
"Permanent exclusions","201718","Academic Year","Chinese","ONS 5+1","England","special","0","0","390"
"Permanent exclusions","201718","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0","0","22552"
"Permanent exclusions","201718","Academic Year","Chinese","ONS 5+1","England","State-funded secondary","0.023201856","3","12930"
"Permanent exclusions","201718","Academic Year","Chinese","ONS 5+1","England","Total","0.008363069","3","35872"
"Permanent exclusions","201718","Academic Year","Gypsy/Roma","ONS 18+1","England","special","0","0","422"
"Permanent exclusions","201718","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.100373613","18","17933"
"Permanent exclusions","201718","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.958545998","77","8033"
"Permanent exclusions","201718","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.360012127","95","26388"
"Permanent exclusions","201718","Academic Year","Indian","ONS 18+1","England","special","0.046490005","1","2151"
"Permanent exclusions","201718","Academic Year","Indian","ONS 18+1","England","State-funded primary","0.000689555","1","145021"
"Permanent exclusions","201718","Academic Year","Indian","ONS 18+1","England","State-funded secondary","0.041519408","41","98749"
"Permanent exclusions","201718","Academic Year","Indian","ONS 18+1","England","Total","0.01748529","43","245921"
"Permanent exclusions","201718","Academic Year","Irish Traveller","ONS 18+1","England","special","0","0","139"
"Permanent exclusions","201718","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.15027909","7","4658"
"Permanent exclusions","201718","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","0.881834215","10","1134"
"Permanent exclusions","201718","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.286629573","17","5931"
"Permanent exclusions","201718","Academic Year","Mixed","ONS 5+1","England","special","0.102941176","7","6800"
"Permanent exclusions","201718","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.045357863","132","291019"
"Permanent exclusions","201718","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.356177266","606","170140"
"Permanent exclusions","201718","Academic Year","Mixed","ONS 5+1","England","Total","0.159201981","745","467959"
"Permanent exclusions","201718","Academic Year","Mixed other","ONS 18+1","England","special","0.192529842","5","2597"
"Permanent exclusions","201718","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.035446108","38","107205"
"Permanent exclusions","201718","Academic Year","Mixed other","ONS 18+1","England","State-funded secondary","0.297384623","185","62209"
"Permanent exclusions","201718","Academic Year","Mixed other","ONS 18+1","England","Total","0.132549663","228","172011"
"Permanent exclusions","201718","Academic Year","Mixed White/Asian","ONS 18+1","England","special","0","0","1233"
"Permanent exclusions","201718","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.015884477","11","69250"
"Permanent exclusions","201718","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded secondary","0.208323","84","40322"
"Permanent exclusions","201718","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.085736203","95","110805"
