"Type of Role","Ethnicity","%","Number"
"Fire control","All","2.6","1,134"
"Fire control","Asian","0.9","4"
"Fire control","Black","1.2","8"
"Fire control","Mixed","2.0","14"
"Fire control","White","2.7","1,034"
"Fire control","Other inc Chinese","0.5","1"
"Fire control","Unknown","N/A","73"
"Firefighters","All","79.3","35,023"
"Firefighters","Asian","50.9","219"
"Firefighters","Black","65.1","427"
"Firefighters","Mixed","84.4","577"
"Firefighters","White","79.7","30,285"
"Firefighters","Other inc Chinese","69.0","145"
"Firefighters","Unknown","N/A","3,370"
"Support Staff","All","18.2","8,028"
"Support Staff","Asian","48.1","207"
"Support Staff","Black","33.7","221"
"Support Staff","Mixed","13.6","93"
"Support Staff","White","17.6","6,693"
"Support Staff","Other inc Chinese","30.5","64"
"Support Staff","Unknown","N/A","750"
