"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","3%","4%","7%","5%","3%","4%"
"Level 4 and above","2%","3%","7%","2%","2%","2%"
"Level 3","3%","7%","8%","6%","3%","?"
"Level 2","4%","8%","8%","7%","4%","?"
"Below Level 2","5%","7%","13%","?","5%","?"
"Other qualifications","3%","4%","3%","?","3%","3%"
"No qualifications","6%","5%","9%","?","6%","5%"
