"gender","Ethnicity","Expected","Higher","Progress score"
"Boys","All","72","15","-0.7"
"Boys","Asian","77","17","0.4"
"Boys","Bangladeshi","78","18","0.9"
"Boys","Indian","83","24","0.5"
"Boys","Pakistani","72","12","0.0"
"Boys","Asian other","78","20","0.6"
"Boys","Black","72","14","-0.2"
"Boys","Black African","75","15","0.2"
"Boys","Black Caribbean","64","9","-1.3"
"Boys","Black other","68","11","-0.5"
"Boys","Chinese","84","32","1.3"
"Boys","Mixed","73","17","-0.6"
"Boys","Mixed White/Asian","79","22","-0.1"
"Boys","Mixed White/Black African","73","16","-0.4"
"Boys","Mixed White/Black Caribbean","66","11","-1.5"
"Boys","Mixed other","75","18","-0.2"
"Boys","White","72","15","-1.0"
"Boys","White British","73","15","-1.1"
"Boys","White Irish","76","20","-0.5"
"Boys","Gypsy/Roma","26","1","-1.1"
"Boys","Irish Traveller","31","3","-1.8"
"Boys","White other","70","14","0.7"
"Boys","Other","69","14","0.7"
"Boys","Unknown","54","10","-1.2"
"Girls","All","85","25","0.8"
"Girls","Asian","87","28","1.6"
"Girls","Bangladeshi","88","29","2.1"
"Girls","Indian","91","36","1.7"
"Girls","Pakistani","83","20","1.3"
"Girls","Asian other","88","31","1.9"
"Girls","Black","84","24","1.2"
"Girls","Black African","85","26","1.5"
"Girls","Black Caribbean","81","19","0.4"
"Girls","Black other","83","22","1.2"
"Girls","Chinese","91","43","2.3"
"Girls","Mixed","86","28","1.1"
"Girls","Mixed White/Asian","90","35","1.4"
"Girls","Mixed White/Black African","86","28","1.0"
"Girls","Mixed White/Black Caribbean","82","19","0.2"
"Girls","Mixed other","87","30","1.5"
"Girls","White","85","25","0.6"
"Girls","White British","85","25","0.5"
"Girls","White Irish","87","32","1.4"
"Girls","Gypsy/Roma","40","3","0.4"
"Girls","Irish Traveller","49","3","-0.2"
"Girls","White other","82","24","2.2"
"Girls","Other","79","22","1.9"
"Girls","Unknown","68","19","0.7"
