"","Boys","","","Girls","",""
"Ethnicity","Expected","Higher","Progress score","Expected","Higher","Progress score"
"All","72","15","-0.7","85","25","0.8"
"Asian","77","17","0.4","87","28","1.6"
"Bangladeshi","78","18","0.9","88","29","2.1"
"Indian","83","24","0.5","91","36","1.7"
"Pakistani","72","12","0.0","83","20","1.3"
"Asian other","78","20","0.6","88","31","1.9"
"Black","72","14","-0.2","84","24","1.2"
"Black African","75","15","0.2","85","26","1.5"
"Black Caribbean","64","9","-1.3","81","19","0.4"
"Black other","68","11","-0.5","83","22","1.2"
"Chinese","84","32","1.3","91","43","2.3"
"Mixed","73","17","-0.6","86","28","1.1"
"Mixed White/Asian","79","22","-0.1","90","35","1.4"
"Mixed White/Black African","73","16","-0.4","86","28","1.0"
"Mixed White/Black Caribbean","66","11","-1.5","82","19","0.2"
"Mixed other","75","18","-0.2","87","30","1.5"
"White","72","15","-1.0","85","25","0.6"
"White British","73","15","-1.1","85","25","0.5"
"White Irish","76","20","-0.5","87","32","1.4"
"Gypsy/Roma","26","1","-1.1","40","3","0.4"
"Irish Traveller","31","3","-1.8","49","3","-0.2"
"White other","70","14","0.7","82","24","2.2"
"Other","69","14","0.7","79","22","1.9"
"Unknown","54","10","-1.2","68","19","0.7"
