"","Apprenticeship starts","Population (2017 estimate)"
"Ethnicity","%","%"
"Asian","4.6","8.1"
"Black","3.3","3.6"
"Mixed","2.5","2.6"
"White","87.2","84.6"
"Other","0.8","1.1"
