"Grouping","Ethnicity","%"
"Apprenticeship starts","Asian","4.6"
"Apprenticeship starts","Black","3.3"
"Apprenticeship starts","Mixed","2.5"
"Apprenticeship starts","White","87.2"
"Apprenticeship starts","Other","0.8"
"Population (2017 estimate)","Asian","8.1"
"Population (2017 estimate)","Black","3.6"
"Population (2017 estimate)","Mixed","2.6"
"Population (2017 estimate)","White","84.6"
"Population (2017 estimate)","Other","1.1"
