"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Percentage of children who are overweight (including obese)","All","All","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","21.8857060507405","%","133642","610636","21.7821774378044","21.9895883906861"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","22.0519777695615","%","75747","343493","21.9136421525405","22.1909384937950"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","23.7958303378864","%","331","1391","21.6321007827360","26.1038949184275"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","20.6613215057432","%","7267","35172","20.2414091375211","21.0876418699430"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","25.4507211538462","%","1694","6656","24.4186501358433","26.5111126789807"
"Percentage of children who are overweight (including obese)","White and Black African","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","28.6215268411114","%","1061","3707","27.1892299022931","30.0980857217026"
"Percentage of children who are overweight (including obese)","White and Asian","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","15.6477561388654","%","924","5905","14.7434782290566","16.5967002429224"
"Percentage of children who are overweight (including obese)","Any other mixed background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","22.0667284522706","%","2381","10790","21.2942756297073","22.8590638185581"
"Percentage of children who are overweight (including obese)","Indian","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","14.9453394706559","%","2078","13904","14.3623993374100","15.5476443680596"
"Percentage of children who are overweight (including obese)","Pakistani","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","19.8174955807176","%","4148","20931","19.2830258303662","20.3630420662867"
"Percentage of children who are overweight (including obese)","Bangladeshi","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","21.6360856269113","%","1698","7848","20.7390846262469","22.5608403232226"
"Percentage of children who are overweight (including obese)","Any other Asian background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","19.4072223483988","%","1709","8806","18.5946183713634","20.2465057829724"
"Percentage of children who are overweight (including obese)","Black Caribbean","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","24.6891996891997","%","1271","5148","23.5304537386659","25.8856915206539"
"Percentage of children who are overweight (including obese)","Black African","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","30.8468705207836","%","5165","16744","30.1517620845152","31.5507652783654"
"Percentage of children who are overweight (including obese)","Any other Black background","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","28.7413494809689","%","1329","4624","27.4550155626323","30.0629759784825"
"Percentage of children who are overweight (including obese)","Chinese","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","17.3333333333333","%","390","2250","15.8252576926070","18.9527634389607"
"Percentage of children who are overweight (including obese)","Any other ethnic group","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","23.2052626561159","%","2434","10489","22.4072933273691","24.0228512425294"
"Percentage of children who are overweight (including obese)","Unknown","ONS 2001 16+1","2014/15","Year","England","Country","E92000001","Persons","4-5 yrs","21.2940467112380","%","24015","112778","21.0560975739889","21.5339513536649"
"Percentage of children who are overweight (including obese)","All","All","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","22.1375730419013","%","138432","625326","22.0348423761501","22.2406460305635"
"Percentage of children who are overweight (including obese)","White British","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","22.4053036043458","%","81314","362923","22.2699421895054","22.5412491803877"
"Percentage of children who are overweight (including obese)","White Irish","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","24.7214484679666","%","355","1436","22.5596235277968","27.0181584180966"
"Percentage of children who are overweight (including obese)","Any other White background","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","20.4003712050908","%","7694","37715","19.9967033394103","20.8100681931264"
"Percentage of children who are overweight (including obese)","White and Black Caribbean","ONS 2001 16+1","2015/16","Year","England","Country","E92000001","Persons","4-5 yrs","24.8957284625342","%","1731","6953","23.8933953345723","25.9257859610758"
