"","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19"
"Ethnicity","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All","25","23","21","18","16","10","7","6","5","7"
"Asian","40","38","33","25","20","11","10","8","8","11"
"Bangladeshi","75","69","59","39","32","17","17","13","14","23"
"Indian","25","21","17","12","9","5","4","3","3","4"
"Pakistani","40","38","35","29","23","14","11","8","8","11"
"Asian other","49","49","45","34","28","16","14","13","13","19"
"Black","120","115","98","67","56","35","33","31","30","39"
"Black African","74","72","62","42","35","22","21","19","19","25"
"Black Caribbean","155","141","113","75","60","36","32","29","27","32"
"Black other","206","211","193","140","121","77","74","74","76","104"
"Mixed","35","31","29","24","20","13","11","9","9","11"
"Mixed White/Asian","13","10","9","7","7","4","3","3","3","4"
"Mixed White/Black African","28","24","22","17","16","10","9","7","8","10"
"Mixed White/Black Caribbean","49","45","39","32","27","17","13","11","11","12"
"Mixed other","45","40","43","35","28","18","16","14","15","19"
"White","19","17","16","15","13","8","5","4","3","4"
"White British","17","16","15","14","13","7","4","3","3","4"
"White Irish","20","19","19","16","14","8","7","5","4","6"
"White other","42","37","36","32","28","17","14","11","9","12"
"Other inc Chinese","22","20","17","13","13","8","6","5","5","7"
"Chinese","13","8","6","5","6","4","2","1","1","1"
"Any other","28","28","24","19","17","11","9","7","8","11"
