"Time","Ethnicity","Rate per 1,000"
"2017/18","Mixed White/Black Caribbean","11"
"2017/18","Mixed other","15"
"2017/18","White","3"
"2017/18","White British","3"
"2017/18","White Irish","4"
"2017/18","White other","9"
"2017/18","Other inc Chinese","5"
"2017/18","Chinese","1"
"2017/18","Any other","8"
"2018/19","All","7"
"2018/19","Asian","11"
"2018/19","Bangladeshi","23"
"2018/19","Indian","4"
"2018/19","Pakistani","11"
"2018/19","Asian other","19"
"2018/19","Black","39"
"2018/19","Black African","25"
"2018/19","Black Caribbean","32"
"2018/19","Black other","104"
"2018/19","Mixed","11"
"2018/19","Mixed White/Asian","4"
"2018/19","Mixed White/Black African","10"
"2018/19","Mixed White/Black Caribbean","12"
"2018/19","Mixed other","19"
"2018/19","White","4"
"2018/19","White British","4"
"2018/19","White Irish","6"
"2018/19","White other","12"
"2018/19","Other inc Chinese","7"
"2018/19","Chinese","1"
"2018/19","Any other","11"
