"","Asian","","","Black","","","Mixed","","","White","","","Other","",""
"Academic year","1st class honours","Upper 2nd class honours","Lower 2nd, 3rd or pass","1st class honours","Upper 2nd class honours","Lower 2nd, 3rd or pass","1st class honours","Upper 2nd class honours","Lower 2nd, 3rd or pass","1st class honours","Upper 2nd class honours","Lower 2nd, 3rd or pass","1st class honours","Upper 2nd class honours","Lower 2nd, 3rd or pass"
"2014/15","17.7","47.5","34.9","9.7","41.1","49.2","19.6","52.4","28.0","24.7","52.4","23.0","16.9","45.5","37.6"
"2015/16","18.3","47.9","33.8","10.6","41.9","47.5","20.8","51.5","27.7","26.3","52.0","21.8","17.4","47.0","35.6"
"2016/17","20.6","48.2","31.1","11.9","42.6","45.5","24.1","50.2","25.7","28.5","50.9","20.6","20.2","46.7","33.1"
"2017/18","22.5","47.7","29.8","13.5","42.5","44.0","26.2","50.6","23.2","30.7","50.0","19.3","21.4","45.6","33.0"
"2018/19","22.8","47.3","29.9","14.0","43.7","42.3","26.1","50.3","23.6","31.4","49.8","18.8","22.2","44.4","33.4"
"2019/20","30.3","47.2","22.4","19.1","46.7","34.2","33.2","49.0","17.8","38.2","47.6","14.1","27.9","47.2","24.9"
