"Court/Tribunal","Ethnicity","Number","%"
"All","Asian","539","100.0"
"All","Black","121","100.0"
"All","Mixed","121","100.0"
"All","White","6,417","100.0"
"All","Other","105","100.0"
"All","Unknown","882","100.0"
"Court Judges","Asian","100","18.6"
"Court Judges","Black","30","24.8"
"Court Judges","Mixed","49","40.5"
"Court Judges","White","2,564","40.0"
"Court Judges","Other","26","24.8"
"Court Judges","Unknown","441","50.0"
"Tribunal Judges","Asian","96","17.8"
"Tribunal Judges","Black","31","25.6"
"Tribunal Judges","Mixed","35","28.9"
"Tribunal Judges","White","1,530","23.8"
"Tribunal Judges","Other","30","28.6"
"Tribunal Judges","Unknown","132","15.0"
"Tribunal non-legal members","Asian","343","63.6"
"Tribunal non-legal members","Black","60","49.6"
"Tribunal non-legal members","Mixed","37","30.6"
"Tribunal non-legal members","White","2,323","36.2"
"Tribunal non-legal members","Other","49","46.7"
"Tribunal non-legal members","Unknown","309","35.0"
