"Gender","Ethnicity","Rate per 1,000","Number of arrests"
"All","All","12","646,292"
"All","Asian","11","44,352"
"All","Bangladeshi","14","6,186"
"All","Chinese","3","1,092"
"All","Indian","6","7,925"
"All","Pakistani","14","16,068"
"All","Asian other","16","13,081"
"All","Black","29","54,193"
"All","Black African","21","20,740"
"All","Black Caribbean","28","16,445"
"All","Black other","61","17,008"
"All","Mixed","17","20,430"
"All","Mixed White/Asian","7","2,258"
"All","Mixed White/Black African","15","2,481"
"All","Mixed White/Black Caribbean","23","9,782"
"All","Mixed other","20","5,909"
"All","White","9","422,037"
"All","White British","8","372,116"
"All","White Irish","10","5,458"
"All","White Gypsy/Traveller","14","832"
"All","White other","18","43,631"
"All","Other","18","9,935"
"All","Arab","3","713"
"All","Any other","28","9,222"
"All","Unknown","NA","95,345"
"Female","All","3","94,823"
"Female","Asian","2","3,510"
"Female","Bangladeshi","2","411"
"Female","Chinese","1","271"
"Female","Indian","1","754"
"Female","Pakistani","2","1,093"
"Female","Asian other","2","981"
"Female","Black","6","5,470"
"Female","Black African","4","1,949"
"Female","Black Caribbean","5","1,690"
"Female","Black other","13","1,831"
"Female","Mixed","5","3,041"
"Female","Mixed White/Asian","2","313"
"Female","Mixed White/Black African","4","309"
"Female","Mixed White/Black Caribbean","7","1,471"
"Female","Mixed other","6","948"
"Female","White","3","67,848"
"Female","White British","3","61,486"
"Female","White Irish","3","789"
"Female","White Gypsy/Traveller","5","135"
"Female","White other","4","5,438"
"Female","Other","4","1,074"
"Female","Arab","1","59"
"Female","Any other","7","1,015"
"Female","Unknown","NA","13,880"
"Male","All","20","549,878"
"Male","Asian","19","40,711"
"Male","Bangladeshi","25","5,764"
"Male","Chinese","4","810"
"Male","Indian","10","7,148"
"Male","Pakistani","26","14,910"
"Male","Asian other","30","12,079"
"Male","Black","54","48,655"
"Male","Black African","39","18,754"
"Male","Black Caribbean","53","14,738"
"Male","Black other","107","15,163"
"Male","Mixed","28","17,348"
"Male","Mixed White/Asian","11","1,940"
"Male","Mixed White/Black African","26","2,169"
"Male","Mixed White/Black Caribbean","39","8,289"
"Male","Mixed other","35","4,950"
"Male","White","15","353,440"
"Male","White British","14","310,012"
"Male","White Irish","18","4,661"
"Male","White Gypsy/Traveller","24","696"
"Male","White other","32","38,071"
"Male","Other","28","8,826"
"Male","Arab","5","650"
"Male","Any other","46","8,176"
"Male","Unknown","NA","80,898"
