"","2019/20","","2020/21",""
"Ethnicity","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests"
"All","12","676,476","12","646,292"
"Asian","10","44,160","11","44,352"
"Black","31","58,502","29","54,193"
"Mixed","18","21,881","17","20,430"
"White","9","441,041","9","422,037"
"Other","18","9,916","18","9,935"
