"Gender","Ethnicity","Arrest rate per 1,000","Number of arrests"
"Female","All","4","102,919"
"Female","Asian","2","3,321"
"Female","Black","7","6,913"
"Female","Mixed","6","3,538"
"Female","White","3","80,632"
"Female","Other inc Chinese","3","1,508"
"Female","Unknown","N/A","7,007"
"Male","All","22","595,818"
"Male","Asian","23","42,955"
"Male","Black","66","59,006"
"Male","Mixed","34","20,267"
"Male","White","18","425,148"
"Male","Other inc Chinese","19","9,567"
"Male","Unknown","N/A","38,875"
