"","White British","","","Other than White British","",""
"Socio-economic group","%","Private renters ('000s)","All households ('000s)","%","Private renters ('000s)","All households ('000s)"
"Higher managerial, administrative and professional occupations","14","1,092","7,684","37","598","1,629"
"Intermediate occupations","17","668","3,958","39","313","792"
"Routine and manual occupations","17","1,012","6,010","41","583","1,427"
