"Ethnicity","Local authority","%"
"All","Barking and Dagenham","73"
"All","Barnet","79"
"All","Barnsley","72"
"All","Bath and North East Somerset","78"
"All","Bedford","68"
"All","Bexley","79"
"All","Birmingham","72"
"All","Blackburn with Darwen","74"
"All","Blackpool","71"
"All","Bolton","72"
"All","Bournemouth, Christchurch and Poole","76"
"All","Bracknell Forest","79"
"All","Bradford","73"
"All","Brent","74"
"All","Brighton and Hove","76"
"All","Bristol, City of","74"
"All","Bromley","80"
"All","Buckinghamshire","78"
"All","Bury","72"
"All","Calderdale","72"
"All","Cambridgeshire","74"
"All","Camden","77"
"All","Central Bedfordshire","78"
"All","Cheshire East","77"
"All","Cheshire West and Chester","73"
"All","City of London","!"
"All","Cornwall","72"
"All","County Durham","76"
"All","Coventry","72"
"All","Croydon","77"
"All","Cumbria","75"
"All","Darlington","75"
"All","Derby","72"
"All","Derbyshire","74"
"All","Devon","74"
"All","Doncaster","73"
"All","Dorset","76"
"All","Dudley","73"
"All","Ealing","75"
"All","East Riding of Yorkshire","75"
"All","East Sussex","77"
"All","Enfield","70"
"All","Essex","77"
"All","Gateshead","75"
"All","Gloucestershire","75"
"All","Greenwich","79"
"All","Hackney","79"
"All","Halton","72"
"All","Hammersmith and Fulham","79"
"All","Hampshire","80"
"All","Haringey","76"
"All","Harrow","79"
"All","Hartlepool","74"
"All","Havering","77"
"All","Herefordshire, County of","79"
"All","Hertfordshire","77"
"All","Hillingdon","75"
"All","Hounslow","78"
"All","Isle of Wight","71"
"All","Isles of Scilly","!"
"All","Islington","76"
"All","Kensington and Chelsea","80"
"All","Kent","76"
"All","Kingston upon Hull, City of","72"
"All","Kingston upon Thames","80"
"All","Kirklees","73"
"All","Knowsley","72"
"All","Lambeth","78"
"All","Lancashire","74"
"All","Leeds","70"
"All","Leicester","70"
"All","Leicestershire","76"
"All","Lewisham","76"
"All","Lincolnshire","71"
"All","Liverpool","70"
"All","Luton","70"
"All","Manchester","71"
"All","Medway","76"
"All","Merton","79"
"All","Middlesbrough","70"
"All","Milton Keynes","77"
"All","Newcastle upon Tyne","75"
"All","Newham","79"
"All","Norfolk","73"
"All","North East Lincolnshire","74"
"All","North Lincolnshire","75"
"All","North Somerset","75"
"All","North Tyneside","78"
"All","North Yorkshire","74"
"All","Northamptonshire","74"
"All","Northumberland","78"
"All","Nottingham","70"
"All","Nottinghamshire","73"
"All","Oldham","71"
"All","Oxfordshire","77"
"All","Peterborough","67"
"All","Plymouth","71"
"All","Portsmouth","74"
"All","Reading","72"
"All","Redbridge","80"
"All","Redcar and Cleveland","75"
"All","Richmond upon Thames","83"
"All","Rochdale","70"
"All","Rotherham","72"
"All","Rutland","78"
"All","Salford","74"
"All","Sandwell","71"
"All","Sefton","75"
"All","Sheffield","72"
"All","Shropshire","74"
"All","Slough","75"
"All","Solihull","78"
"All","Somerset","76"
"All","South Gloucestershire","80"
"All","South Tyneside","76"
"All","Southampton","74"
"All","Southend-on-Sea","77"
"All","Southwark","79"
"All","St. Helens","74"
"All","Staffordshire","77"
"All","Stockport","76"
"All","Stockton-on-Tees","77"
"All","Stoke-on-Trent","72"
"All","Suffolk","73"
"All","Sunderland","75"
"All","Surrey","79"
"All","Sutton","80"
"All","Swindon","75"
"All","Tameside","73"
"All","Telford and Wrekin","75"
"All","Thurrock","75"
"All","Torbay","76"
"All","Tower Hamlets","75"
"All","Trafford","79"
"All","Wakefield","73"
"All","Walsall","73"
"All","Waltham Forest","79"
"All","Wandsworth","80"
"All","Warrington","78"
"All","Warwickshire","77"
"All","West Berkshire","75"
"All","West Sussex","75"
"All","Westminster","76"
"All","Wigan","76"
"All","Wiltshire","75"
"All","Windsor and Maidenhead","79"
"All","Wirral","72"
"All","Wokingham","80"
"All","Wolverhampton","74"
"All","Worcestershire","75"
"All","York","76"
"Asian","Barking and Dagenham","75"
"Asian","Barnet","83"
"Asian","Barnsley","82"
"Asian","Bath and North East Somerset","76"
"Asian","Bedford","65"
