"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","71","22"
"Boys","Asian","72","21"
"Boys","Bangladeshi","71","20"
"Boys","Indian","79","28"
"Boys","Pakistani","67","16"
"Boys","Asian other","73","22"
"Boys","Black","70","18"
"Boys","Black African","73","19"
"Boys","Black Caribbean","65","14"
"Boys","Black other","67","17"
"Boys","Chinese","81","33"
"Boys","Mixed","73","24"
"Boys","Mixed White/Asian","79","30"
"Boys","Mixed White/Black African","73","23"
"Boys","Mixed White/Black Caribbean","66","17"
"Boys","Mixed other","74","26"
"Boys","White","71","22"
"Boys","White British","72","23"
"Boys","White Irish","76","29"
"Boys","Gypsy/Roma","28","3"
"Boys","Irish Traveller","27","5"
"Boys","White other","67","18"
"Boys","Other","64","16"
"Boys","Unknown","53","16"
"Girls","All","79","29"
"Girls","Asian","81","28"
"Girls","Bangladeshi","80","27"
"Girls","Indian","87","37"
"Girls","Pakistani","78","22"
"Girls","Asian other","81","30"
"Girls","Black","82","26"
"Girls","Black African","83","28"
"Girls","Black Caribbean","78","21"
"Girls","Black other","80","25"
"Girls","Chinese","88","41"
"Girls","Mixed","82","31"
"Girls","Mixed White/Asian","85","37"
"Girls","Mixed White/Black African","81","30"
"Girls","Mixed White/Black Caribbean","77","24"
"Girls","Mixed other","82","31"
"Girls","White","79","29"
"Girls","White British","80","30"
"Girls","White Irish","84","38"
"Girls","Gypsy/Roma","32","5"
"Girls","Irish Traveller","42","9"
"Girls","White other","75","24"
"Girls","Other","72","20"
"Girls","Unknown","60","20"
