"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18","2016/17 to 2018/19"
"Ethnicity","£","£","£","£","£","£","£","£","£"
"All","166","170","172","174","178","180","184","186","189"
"Asian","138","135","127","127","130","134","135","134","141"
"Black","132","141","136","135","133","138","135","139","142"
"Mixed","136","142","?","?","156","154","150","160","177"
"White British","168","172","174","177","180","183","187","190","192"
"White other","154","148","147","147","153","150","149","149","151"
"Other","147","149","135","133","137","152","143","144","144"
