"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18","2016/17 to 2018/19"
"Ethnicity","£","£","£","£","£","£","£","£","£"
"All","522","528","523","522","531","538","546","546","548"
"Asian","439","455","458","476","446","420","417","397","401"
"Black","412","413","386","378","391","393","397","380","425"
"Mixed","459","530","?","?","466","505","521","497","553"
"White British","526","532","527","525","536","544","553","554","556"
"White other","514","520","500","490","486","489","498","490","487"
"Other","502","508","560","567","643","596","635","584","520"
