"Time","Ethnicity","£"
"2008/09 to 2010/11","All","130"
"2008/09 to 2010/11","Asian","78"
"2008/09 to 2010/11","Black","72"
"2008/09 to 2010/11","Mixed","116"
"2008/09 to 2010/11","White British","132"
"2008/09 to 2010/11","White other","119"
"2008/09 to 2010/11","Other","118"
"2009/10 to 2011/12","All","137"
"2009/10 to 2011/12","Asian","74"
"2009/10 to 2011/12","Black","71"
"2009/10 to 2011/12","Mixed","151"
"2009/10 to 2011/12","White British","140"
"2009/10 to 2011/12","White other","124"
"2009/10 to 2011/12","Other","131"
"2010/11 to 2012/13","All","140"
"2010/11 to 2012/13","Asian","80"
"2010/11 to 2012/13","Black","66"
"2010/11 to 2012/13","Mixed","?"
"2010/11 to 2012/13","White British","143"
"2010/11 to 2012/13","White other","113"
"2010/11 to 2012/13","Other","138"
"2011/12 to 2013/14","All","144"
"2011/12 to 2013/14","Asian","95"
"2011/12 to 2013/14","Black","69"
"2011/12 to 2013/14","Mixed","?"
"2011/12 to 2013/14","White British","147"
"2011/12 to 2013/14","White other","103"
"2011/12 to 2013/14","Other","151"
"2012/13 to 2014/15","All","149"
"2012/13 to 2014/15","Asian","91"
"2012/13 to 2014/15","Black","78"
"2012/13 to 2014/15","Mixed","149"
"2012/13 to 2014/15","White British","152"
"2012/13 to 2014/15","White other","106"
"2012/13 to 2014/15","Other","154"
"2013/14 to 2015/16","All","154"
"2013/14 to 2015/16","Asian","83"
"2013/14 to 2015/16","Black","78"
"2013/14 to 2015/16","Mixed","119"
"2013/14 to 2015/16","White British","158"
"2013/14 to 2015/16","White other","109"
"2013/14 to 2015/16","Other","141"
"2014/15 to 2016/17","All","159"
"2014/15 to 2016/17","Asian","75"
"2014/15 to 2016/17","Black","70"
"2014/15 to 2016/17","Mixed","95"
"2014/15 to 2016/17","White British","164"
"2014/15 to 2016/17","White other","107"
"2014/15 to 2016/17","Other","125"
"2015/16 to 2017/18","All","158"
"2015/16 to 2017/18","Asian","71"
"2015/16 to 2017/18","Black","64"
"2015/16 to 2017/18","Mixed","83"
"2015/16 to 2017/18","White British","163"
"2015/16 to 2017/18","White other","100"
"2015/16 to 2017/18","Other","131"
"2016/17 to 2018/19","All","161"
"2016/17 to 2018/19","Asian","69"
"2016/17 to 2018/19","Black","73"
"2016/17 to 2018/19","Mixed","99"
"2016/17 to 2018/19","White British","167"
"2016/17 to 2018/19","White other","104"
"2016/17 to 2018/19","Other","112"
