"","2016-17","","2017-18","","2018-19","","2019-20",""
"Ethnicity","Percentage","Number of respondents","Percentage","Number of respondents","Percentage","Number of respondents","Percentage","Number of respondents"
"All","81","9,963","82","9,551","81","10,344","82","10,060"
"Asian","85","1,095","84","906","86","901","86","791"
"Black","77","354","78","330","86","335","84","394"
"Mixed","80","460","82","460","83","484","85","460"
"White","81","7,774","83","7,572","81","8,327","81","7,897"
"Other","81","159","78","120","78","121","75","118"
