"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","13%","12%","15%","15%","13%","15%"
"Level 4 and above","8%","5%","8%","4%","8%","7%"
"Level 3","11%","9%","10%","13%","11%","?"
"Level 2","15%","19%","20%","29%","14%","?"
"Below Level 2","18%","18%","19%","?","17%","?"
"Other qualifications","12%","14%","15%","?","11%","13%"
"No qualifications","39%","28%","38%","?","40%","36%"
