"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","18%","25%","19%","19%","17%","25%"
"Level 4 and above","11%","13%","12%","10%","11%","16%"
"Level 3","14%","23%","16%","16%","14%","26%"
"Level 2","21%","33%","26%","29%","20%","27%"
"Below Level 2","25%","33%","24%","29%","25%","32%"
"Other qualifications","20%","31%","21%","?","17%","30%"
"No qualifications","48%","52%","48%","54%","48%","53%"
