"","All","Other","White"
"Geography","%","%","%"
"England","8","15","6"
"East of England","8","14","6"
"London","11","15","8"
"Midlands","7","14","6"
"North East and Yorkshire","6","14","5"
"North West","6","14","6"
"South East of England","7","13","6"
"South West of England","6","14","6"
