"","Infrastructure support","","","Managers and senior managers","","","Professionally qualified non-medical","","","Support to clinical staff","",""
"Ethnicity","Female","Male","Pay per £1 paid to men","Female","Male","Pay per £1 paid to men","Female","Male","Pay per £1 paid to men","Female","Male","Pay per £1 paid to men"
"All","£1,908","£2,064","92p","£4,679","£5,198","90p","£2,709","£2,759","98p","£1,603","£1,603","£1.00"
"Asian","£1,912","£2,025","94p","£4,241","£4,790","89p","£2,540","£2,634","96p","£1,551","£1,556","£1.00"
"Black","£1,861","£1,875","99p","£4,218","£4,187","£1.01","£2,538","£2,592","98p","£1,565","£1,553","£1.01"
"Mixed","£1,950","£1,984","98p","£4,341","£4,772","91p","£2,575","£2,672","96p","£1,566","£1,585","99p"
"White","£1,909","£2,080","92p","£4,698","£5,218","90p","£2,748","£2,799","98p","£1,610","£1,615","£1.00"
"Other","£1,823","£1,807","£1.01","£4,415","£4,579","96p","£2,624","£2,734","96p","£1,548","£1,561","99p"
"Unknown","£1,933","£2,171","89p","£5,111","£5,903","87p","£2,624","£2,698","97p","£1,602","£1,646","97p"
