"","Average (mean) monthly basic pay per FTE","","Average pay for every £1 paid to White staff",""
"Ethnicity","Female","Male","Female","Male"
"All","£2,276","£2,429","n/a","n/a"
"Asian","£2,209","£2,251","96p","91p"
"Black","£2,160","£2,098","94p","84p"
"Mixed","£2,171","£2,223","95p","90p"
"Other","£2,252","£2,245","98p","90p"
"Unknown","£2,265","£2,566","99p","£1.03"
"White","£2,293","£2,483","n/a","n/a"
