"","Average (mean) monthly basic pay per FTE (£)","","Average pay for every £1 paid to White staff",""
"Ethnicity","Female","Male","Female","Male"
"All","2,276.00","2,429.00","n/a","n/a"
"Asian","2,209.00","2,251.00","0.96","0.91"
"Black","2,160.00","2,098.00","0.94","0.84"
"Mixed","2,171.00","2,223.00","0.95","0.90"
"Other","2,252.00","2,245.00","0.98","0.90"
"Unknown","2,265.00","2,566.00","0.99","1.03"
"White","2,293.00","2,483.00","n/a","n/a"
