"","Average (mean) monthly basic pay per FTE","","Average pay for every £1 paid to White staff",""
"Ethnicity","Female","Male","Female","Male"
"All","£2,423","£3,157","n/a","n/a"
"Asian","£2,637","£3,764","£1.10","£1.24"
"Black","£2,242","£2,551","93p","84p"
"Mixed","£2,407","£3,145","£1.00","£1.04"
"Other","£2,590","£3,691","£1.08","£1.22"
"Unknown","£2,491","£3,369","£1.03","£1.11"
"White","£2,407","£3,034","n/a","n/a"
