"","All","","Higher","","CBE","","OBE","","MBE","","BEM",""
"Category ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number "
"Asian","5.4","51","0.0","0","2.1","2","8.4","16","6.5","22","3.9","11"
"Black","3.2","30","3.2","1","4.2","4","4.7","9","3.2","11","2.1","6"
"Mixed","1.2","11","0.0","0","1.1","1","2.1","4","1.5","5","0.4","1"
"White","89.6","841","96.8","30","92.6","88","84.3","161","87.3","296","93.7","266"
"Other inc Chinese","0.6","6","0.0","0","0.0","0","0.5","1","1.5","5","0.0","0"
