"Ethnicity","category","year","value","value type","","",""
"White other","CBE","Jun-18","2","number ","","",""
"Mixed","CBE","Jun-18","4","number ","","",""
"Mixed White/Black Caribbean","CBE","Jun-18","1","number ","","",""
"Mixed White/Black African","CBE","Jun-18","2","number ","","",""
"Mixed White/Asian","CBE","Jun-18","0","number ","","",""
"Mixed other","CBE","Jun-18","1","number ","","",""
"Asian","CBE","Jun-18","1","number ","","",""
"Indian","CBE","Jun-18","1","number ","","",""
"Pakistani","CBE","Jun-18","0","number ","","",""
"Bangladeshi","CBE","Jun-18","0","number ","","",""
"Asian other","CBE","Jun-18","0","number ","","",""
"Black","CBE","Jun-18","4","number ","","",""
"Black Caribbean","CBE","Jun-18","1","number ","","",""
"Black African","CBE","Jun-18","3","number ","","",""
"Black other ","CBE","Jun-18","0","number ","","",""
"Other inc Chinese","CBE","Jun-18","1","number ","","",""
"Chinese","CBE","Jun-18","0","number ","","",""
"Any other","CBE","Jun-18","1","number ","","",""
"All","CBE","Jun-18","100","number ","","",""
"White","OBE","Jun-18","150","number ","","",""
"White British","OBE","Jun-18","142","number ","","",""
"White other","OBE","Jun-18","8","number ","","",""
"Mixed","OBE","Jun-18","4","number ","","",""
"Mixed White/Black Caribbean","OBE","Jun-18","1","number ","","",""
"Mixed White/Black African","OBE","Jun-18","1","number ","","",""
"Mixed White/Asian","OBE","Jun-18","2","number ","","",""
"Mixed other","OBE","Jun-18","0","number ","","",""
"Asian","OBE","Jun-18","16","number ","","",""
"Indian","OBE","Jun-18","9","number ","","",""
"Pakistani","OBE","Jun-18","2","number ","","",""
"Bangladeshi","OBE","Jun-18","0","number ","","",""
"Asian other","OBE","Jun-18","5","number ","","",""
"Black","OBE","Jun-18","4","number ","","",""
"Black Caribbean","OBE","Jun-18","0","number ","","",""
"Black African","OBE","Jun-18","2","number ","","",""
"Black other ","OBE","Jun-18","2","number ","","",""
"Other inc Chinese","OBE","Jun-18","2","number ","","",""
"Chinese","OBE","Jun-18","1","number ","","",""
"Any other","OBE","Jun-18","1","number ","","",""
"All","OBE","Jun-18","176","number ","","",""
"White","MBE","Jun-18","325","number ","","",""
"White British","MBE","Jun-18","318","number ","","",""
"White other","MBE","Jun-18","7","number ","","",""
"Mixed","MBE","Jun-18","1","number ","","",""
"Mixed White/Black Caribbean","MBE","Jun-18","0","number ","","",""
"Mixed White/Black African","MBE","Jun-18","0","number ","","",""
"Mixed White/Asian","MBE","Jun-18","1","number ","","",""
"Mixed other","MBE","Jun-18","0","number ","","",""
"Asian","MBE","Jun-18","27","number ","","",""
"Indian","MBE","Jun-18","12","number ","","",""
"Pakistani","MBE","Jun-18","7","number ","","",""
"Bangladeshi","MBE","Jun-18","2","number ","","",""
"Asian other","MBE","Jun-18","6","number ","","",""
"Black","MBE","Jun-18","18","number ","","",""
"Black Caribbean","MBE","Jun-18","10","number ","","",""
"Black African","MBE","Jun-18","5","number ","","",""
"Black other ","MBE","Jun-18","3","number ","","",""
"Other inc Chinese","MBE","Jun-18","2","number ","","",""
"Chinese","MBE","Jun-18","0","number ","","",""
"Any other","MBE","Jun-18","2","number ","","",""
"All","MBE","Jun-18","373","number ","","",""
"White","BEM","Jun-18","301","number ","","",""
"White British","BEM","Jun-18","299","number ","","",""
"White other","BEM","Jun-18","2","number ","","",""
"Mixed","BEM","Jun-18","3","number ","","",""
"Mixed White/Black Caribbean","BEM","Jun-18","0","number ","","",""
"Mixed White/Black African","BEM","Jun-18","2","number ","","",""
"Mixed White/Asian","BEM","Jun-18","0","number ","","",""
"Mixed other","BEM","Jun-18","1","number ","","",""
"Asian","BEM","Jun-18","10","number ","","",""
"Indian","BEM","Jun-18","4","number ","","",""
"Pakistani","BEM","Jun-18","1","number ","","",""
"Bangladeshi","BEM","Jun-18","2","number ","","",""
"Asian other","BEM","Jun-18","3","number ","","",""
"Black","BEM","Jun-18","2","number ","","",""
"Black Caribbean","BEM","Jun-18","0","number ","","",""
"Black African","BEM","Jun-18","1","number ","","",""
"Black other ","BEM","Jun-18","1","number ","","",""
"Other inc Chinese","BEM","Jun-18","2","number ","","",""
"Chinese","BEM","Jun-18","0","number ","","",""
"Any other","BEM","Jun-18","2","number ","","",""
"All","BEM","Jun-18","318","number ","","",""
"White","All","Jun-18","899","number ","","",""
"White British","All","Jun-18","880","number ","","",""
"White other","All","Jun-18","19","number ","","",""
"Mixed","All","Jun-18","13","number ","","",""
"Mixed White/Black Caribbean","All","Jun-18","2","number ","","",""
"Mixed White/Black African","All","Jun-18","5","number ","","",""
"Mixed White/Asian","All","Jun-18","3","number ","","",""
"Mixed other","All","Jun-18","3","number ","","",""
"Asian","All","Jun-18","55","number ","","",""
"Indian","All","Jun-18","26","number ","","",""
"Pakistani","All","Jun-18","10","number ","","",""
"Bangladeshi","All","Jun-18","4","number ","","",""
"Asian other","All","Jun-18","15","number ","","",""
"Black","All","Jun-18","28","number ","","",""
"Black Caribbean","All","Jun-18","11","number ","","",""
"Black African","All","Jun-18","11","number ","","",""
"Black other ","All","Jun-18","6","number ","","",""
"Other inc Chinese","All","Jun-18","7","number ","","",""
"Chinese","All","Jun-18","1","number ","","",""
"Any other","All","Jun-18","6","number ","","",""
"All","All","Jun-18","1002","number ","","",""
"White","Higher","Jun-18","94.28571","%","","",""
"White British","Higher","Jun-18","94.28571","%","","",""
"White other","Higher","Jun-18","0","%","","",""
"Mixed","Higher","Jun-18","2.85714","%","","",""
"Mixed White/Black Caribbean","Higher","Jun-18","0","%","","",""
"Mixed White/Black African","Higher","Jun-18","0","%","","",""
"Mixed White/Asian","Higher","Jun-18","0","%","","",""
"Mixed other","Higher","Jun-18","2.85714","%","","",""
"Asian","Higher","Jun-18","2.85714","%","","",""
"Indian","Higher","Jun-18","0","%","","",""
"Pakistani","Higher","Jun-18","0","%","","",""
"Bangladeshi","Higher","Jun-18","0","%","","",""
"Asian other","Higher","Jun-18","2.85714","%","","",""
"Black","Higher","Jun-18","0","%","","",""
"Black Caribbean","Higher","Jun-18","0","%","","",""
"Black African","Higher","Jun-18","0","%","","",""
"Black other ","Higher","Jun-18","0","%","","",""
"Other inc Chinese","Higher","Jun-18","0","%","","",""
"Chinese","Higher","Jun-18","0","%","","",""
"Any other","Higher","Jun-18","0","%","","",""
"All","Higher","Jun-18","100","%","","",""
"White","CBE","Jun-18","90","%","","",""
"White British","CBE","Jun-18","88","%","","",""
"White other","CBE","Jun-18","2","%","","",""
"Mixed","CBE","Jun-18","4","%","","",""
"Mixed White/Black Caribbean","CBE","Jun-18","1","%","","",""
"Mixed White/Black African","CBE","Jun-18","2","%","","",""
"Mixed White/Asian","CBE","Jun-18","0","%","","",""
"Mixed other","CBE","Jun-18","1","%","","",""
"Asian","CBE","Jun-18","1","%","","",""
"Indian","CBE","Jun-18","1","%","","",""
"Pakistani","CBE","Jun-18","0","%","","",""
"Bangladeshi","CBE","Jun-18","0","%","","",""
"Asian other","CBE","Jun-18","0","%","","",""
"Black","CBE","Jun-18","4","%","","",""
"Black Caribbean","CBE","Jun-18","1","%","","",""
"Black African","CBE","Jun-18","3","%","","",""
"Black other ","CBE","Jun-18","0","%","","",""
"Other inc Chinese","CBE","Jun-18","1","%","","",""
"Chinese","CBE","Jun-18","0","%","","",""
"Any other","CBE","Jun-18","1","%","","",""
"All","CBE","Jun-18","100","%","","",""
"White","OBE","Jun-18","85.22727","%","","",""
"White British","OBE","Jun-18","80.68182","%","","",""
"White other","OBE","Jun-18","4.54545","%","","",""
"Mixed","OBE","Jun-18","2.27273","%","","",""
"Mixed White/Black Caribbean","OBE","Jun-18","0.56818","%","","",""
"Mixed White/Black African","OBE","Jun-18","0.56818","%","","",""
"Mixed White/Asian","OBE","Jun-18","1.13636","%","","",""
"Mixed other","OBE","Jun-18","0","%","","",""
"Asian","OBE","Jun-18","9.09091","%","","",""
"Indian","OBE","Jun-18","5.11364","%","","",""
"Pakistani","OBE","Jun-18","1.13636","%","","",""
"Bangladeshi","OBE","Jun-18","0","%","","",""
"Asian other","OBE","Jun-18","2.84091","%","","",""
"Black","OBE","Jun-18","2.27273","%","","",""
"Black Caribbean","OBE","Jun-18","0","%","","",""
"Black African","OBE","Jun-18","1.13636","%","","",""
"Black other ","OBE","Jun-18","1.13636","%","","",""
"Other inc Chinese","OBE","Jun-18","1.13636","%","","",""
"Chinese","OBE","Jun-18","0.56818","%","","",""
"Any other","OBE","Jun-18","0.56818","%","","",""
"All","OBE","Jun-18","100","%","","",""
"White","MBE","Jun-18","87.13137","%","","",""
"White British","MBE","Jun-18","85.25469","%","","",""
"White other","MBE","Jun-18","1.87668","%","","",""
"Mixed","MBE","Jun-18","0.2681","%","","",""
"Mixed White/Black Caribbean","MBE","Jun-18","0","%","","",""
"Mixed White/Black African","MBE","Jun-18","0","%","","",""
"Mixed White/Asian","MBE","Jun-18","0.2681","%","","",""
"Mixed other","MBE","Jun-18","0","%","","",""
"Asian","MBE","Jun-18","7.23861","%","","",""
"Indian","MBE","Jun-18","3.21716","%","","",""
"Pakistani","MBE","Jun-18","1.87668","%","","",""
"Bangladeshi","MBE","Jun-18","0.53619","%","","",""
"Asian other","MBE","Jun-18","1.60858","%","","",""
"Black","MBE","Jun-18","4.82574","%","","",""
"Black Caribbean","MBE","Jun-18","2.68097","%","","",""
"Black African","MBE","Jun-18","1.34048","%","","",""
"Black other ","MBE","Jun-18","0.80429","%","","",""
"Other inc Chinese","MBE","Jun-18","0.53619","%","","",""
"Chinese","MBE","Jun-18","0","%","","",""
"Any other","MBE","Jun-18","0.53619","%","","",""
"All","MBE","Jun-18","100","%","","",""
"White","BEM","Jun-18","94.65409","%","","",""
"White British","BEM","Jun-18","94.02516","%","","",""
"White other","BEM","Jun-18","0.62893","%","","",""
"Mixed","BEM","Jun-18","0.9434","%","","",""
"Mixed White/Black Caribbean","BEM","Jun-18","0","%","","",""
"Mixed White/Black African","BEM","Jun-18","0.62893","%","","",""
"Mixed White/Asian","BEM","Jun-18","0","%","","",""
"Mixed other","BEM","Jun-18","0.31447","%","","",""
"Asian","BEM","Jun-18","3.14465","%","","",""
"Indian","BEM","Jun-18","1.25786","%","","",""
"Pakistani","BEM","Jun-18","0.31447","%","","",""
"Bangladeshi","BEM","Jun-18","0.62893","%","","",""
"Asian other","BEM","Jun-18","0.9434","%","","",""
"Black","BEM","Jun-18","0.62893","%","","",""
"Black Caribbean","BEM","Jun-18","0","%","","",""
"Black African","BEM","Jun-18","0.31447","%","","",""
"Black other ","BEM","Jun-18","0.31447","%","","",""
"Other inc Chinese","BEM","Jun-18","0.62893","%","","",""
"Chinese","BEM","Jun-18","0","%","","",""
"Any other","BEM","Jun-18","0.62893","%","","",""
"All","BEM","Jun-18","100","%","","",""
"White","All","Jun-18","89.72056","%","","",""
"White British","All","Jun-18","87.82435","%","","",""
"White other","All","Jun-18","1.89621","%","","",""
"Mixed","All","Jun-18","1.29741","%","","",""
"Mixed White/Black Caribbean","All","Jun-18","0.1996","%","","",""
"Mixed White/Black African","All","Jun-18","0.499","%","","",""
"Mixed White/Asian","All","Jun-18","0.2994","%","","",""
"Mixed other","All","Jun-18","0.2994","%","","",""
"Asian","All","Jun-18","5.48902","%","","",""
"Indian","All","Jun-18","2.59481","%","","",""
"Pakistani","All","Jun-18","0.998","%","","",""
"Bangladeshi","All","Jun-18","0.3992","%","","",""
"Asian other","All","Jun-18","1.49701","%","","",""
"Black","All","Jun-18","2.79441","%","","",""
"Black Caribbean","All","Jun-18","1.0978","%","","",""
"Black African","All","Jun-18","1.0978","%","","",""
"Black other ","All","Jun-18","0.5988","%","","",""
"Other inc Chinese","All","Jun-18","0.6986","%","","",""
"Chinese","All","Jun-18","0.0998","%","","",""
"Any other","All","Jun-18","0.5988","%","","",""
"All","All","Jun-18","100","%","","",""
"Unknown ","Higher","Jun-18","12","number ","","",""
"Unknown ","CBE","Jun-18","10","number ","","",""
"Unknown ","OBE","Jun-18","34","number ","","",""
"Unknown ","MBE","Jun-18","19","number ","","",""
"Unknown ","BEM","Jun-18","0","number ","","",""
"Unknown ","All","Jun-18","75","number ","","",""
"White","Higher","Dec-17","45","number ","","",""
"White British","Higher","Dec-17","45","number ","","",""
"White other","Higher","Dec-17","0","number ","","",""
"Mixed","Higher","Dec-17","2","number ","","",""
"Mixed White/Black Caribbean","Higher","Dec-17","0","number ","","",""
"Mixed White/Black African","Higher","Dec-17","2","number ","","",""
"Mixed White/Asian","Higher","Dec-17","0","number ","","",""
"Mixed other","Higher","Dec-17","0","number ","","",""
"Asian","Higher","Dec-17","1","number ","","",""
"Indian","Higher","Dec-17","1","number ","","",""
"Pakistani","Higher","Dec-17","0","number ","","",""
"Bangladeshi","Higher","Dec-17","0","number ","","",""
"Asian other","Higher","Dec-17","0","number ","","",""
"Black","Higher","Dec-17","1","number ","","",""
"Black Caribbean","Higher","Dec-17","0","number ","","",""
"Black African","Higher","Dec-17","0","number ","","",""
"Black other ","Higher","Dec-17","1","number ","","",""
"Other inc Chinese","Higher","Dec-17","0","number ","","",""
"Chinese","Higher","Dec-17","0","number ","","",""
"Any other","Higher","Dec-17","0","number ","","",""
"All","Higher","Dec-17","49","number ","","",""
"White","CBE","Dec-17","88","number ","","",""
"White British","CBE","Dec-17","85","number ","","",""
"White other","CBE","Dec-17","3","number ","","",""
"Mixed","CBE","Dec-17","4","number ","","",""
"Mixed White/Black Caribbean","CBE","Dec-17","1","number ","","",""
"Mixed White/Black African","CBE","Dec-17","0","number ","","",""
"Mixed White/Asian","CBE","Dec-17","0","number ","","",""
"Mixed other","CBE","Dec-17","3","number ","","",""
"Asian","CBE","Dec-17","1","number ","","",""
"Indian","CBE","Dec-17","0","number ","","",""
"Pakistani","CBE","Dec-17","0","number ","","",""
"Bangladeshi","CBE","Dec-17","0","number ","","",""
"Asian other","CBE","Dec-17","1","number ","","",""
"Black","CBE","Dec-17","1","number ","","",""
"Black Caribbean","CBE","Dec-17","1","number ","","",""
"Black African","CBE","Dec-17","0","number ","","",""
"Black other ","CBE","Dec-17","0","number ","","",""
"Other inc Chinese","CBE","Dec-17","1","number ","","",""
"Chinese","CBE","Dec-17","1","number ","","",""
"Any other","CBE","Dec-17","0","number ","","",""
"All","CBE","Dec-17","95","number ","","",""
"White","OBE","Dec-17","182","number ","","",""
"White British","OBE","Dec-17","174","number ","","",""
"White other","OBE","Dec-17","6","number ","","",""
"Mixed","OBE","Dec-17","0","number ","","",""
"Mixed White/Black Caribbean","OBE","Dec-17","0","number ","","",""
"Mixed White/Black African","OBE","Dec-17","0","number ","","",""
"Mixed White/Asian","OBE","Dec-17","0","number ","","",""
"Mixed other","OBE","Dec-17","0","number ","","",""
"Asian","OBE","Dec-17","15","number ","","",""
"Indian","OBE","Dec-17","10","number ","","",""
"Pakistani","OBE","Dec-17","2","number ","","",""
"Bangladeshi","OBE","Dec-17","2","number ","","",""
"Asian other","OBE","Dec-17","1","number ","","",""
"Black","OBE","Dec-17","4","number ","","",""
"Black Caribbean","OBE","Dec-17","3","number ","","",""
"Black African","OBE","Dec-17","0","number ","","",""
"Black other ","OBE","Dec-17","1","number ","","",""
"Other inc Chinese","OBE","Dec-17","2","number ","","",""
"Chinese","OBE","Dec-17","2","number ","","",""
"Any other","OBE","Dec-17","0","number ","","",""
"All","OBE","Dec-17","201","number ","","",""
"White","MBE","Dec-17","383","number ","","",""
"White British","MBE","Dec-17","377","number ","","",""
"White other","MBE","Dec-17","6","number ","","",""
"Mixed","MBE","Dec-17","7","number ","","",""
"Mixed White/Black Caribbean","MBE","Dec-17","3","number ","","",""
"Mixed White/Black African","MBE","Dec-17","2","number ","","",""
"Mixed White/Asian","MBE","Dec-17","1","number ","","",""
"Mixed other","MBE","Dec-17","1","number ","","",""
"Asian","MBE","Dec-17","21","number ","","",""
"Indian","MBE","Dec-17","10","number ","","",""
"Pakistani","MBE","Dec-17","7","number ","","",""
"Bangladeshi","MBE","Dec-17","2","number ","","",""
"Asian other","MBE","Dec-17","2","number ","","",""
"Black","MBE","Dec-17","21","number ","","",""
"Black Caribbean","MBE","Dec-17","13","number ","","",""
"Black African","MBE","Dec-17","5","number ","","",""
"Black other ","MBE","Dec-17","3","number ","","",""
"Other inc Chinese","MBE","Dec-17","2","number ","","",""
"Chinese","MBE","Dec-17","2","number ","","",""
"Any other","MBE","Dec-17","0","number ","","",""
"All","MBE","Dec-17","434","number ","","",""
"White","BEM","Dec-17","292","number ","","",""
"White British","BEM","Dec-17","284","number ","","",""
"White other","BEM","Dec-17","8","number ","","",""
"Mixed","BEM","Dec-17","1","number ","","",""
"Mixed White/Black Caribbean","BEM","Dec-17","0","number ","","",""
"Mixed White/Black African","BEM","Dec-17","1","number ","","",""
"Mixed White/Asian","BEM","Dec-17","0","number ","","",""
"Mixed other","BEM","Dec-17","0","number ","","",""
"Asian","BEM","Dec-17","7","number ","","",""
"Indian","BEM","Dec-17","7","number ","","",""
"Pakistani","BEM","Dec-17","0","number ","","",""
"Bangladeshi","BEM","Dec-17","0","number ","","",""
"Asian other","BEM","Dec-17","0","number ","","",""
"Black","BEM","Dec-17","8","number ","","",""
"Black Caribbean","BEM","Dec-17","4","number ","","",""
"Black African","BEM","Dec-17","4","number ","","",""
"Black other ","BEM","Dec-17","0","number ","","",""
"Other inc Chinese","BEM","Dec-17","0","number ","","",""
"Chinese","BEM","Dec-17","0","number ","","",""
"Any other","BEM","Dec-17","0","number ","","",""
"All","BEM","Dec-17","308","number ","","",""
"White","All","Dec-17","988","number ","","",""
"White British","All","Dec-17","965","number ","","",""
"White other","All","Dec-17","23","number ","","",""
"Mixed","All","Dec-17","14","number ","","",""
"Mixed White/Black Caribbean","All","Dec-17","4","number ","","",""
"Mixed White/Black African","All","Dec-17","5","number ","","",""
"Mixed White/Asian","All","Dec-17","1","number ","","",""
"Mixed other","All","Dec-17","4","number ","","",""
"Asian","All","Dec-17","45","number ","","",""
"Indian","All","Dec-17","28","number ","","",""
"Pakistani","All","Dec-17","9","number ","","",""
"Bangladeshi","All","Dec-17","4","number ","","",""
"Asian other","All","Dec-17","4","number ","","",""
"Black","All","Dec-17","35","number ","","",""
"Black Caribbean","All","Dec-17","21","number ","","",""
"Black African","All","Dec-17","9","number ","","",""
"Black other ","All","Dec-17","5","number ","","",""
"Other inc Chinese","All","Dec-17","5","number ","","",""
"Chinese","All","Dec-17","5","number ","","",""
"Any other","All","Dec-17","0","number ","","",""
"All","All","Dec-17","1087","number ","","",""
"White","Higher","Dec-17","91.83673","%","","",""
"White British","Higher","Dec-17","91.83673","%","","",""
"White other","Higher","Dec-17","0","%","","",""
"Mixed","Higher","Dec-17","4.08163","%","","",""
"Mixed White/Black Caribbean","Higher","Dec-17","0","%","","",""
"Mixed White/Black African","Higher","Dec-17","4.08163","%","","",""
"Mixed White/Asian","Higher","Dec-17","0","%","","",""
"Mixed other","Higher","Dec-17","0","%","","",""
"Asian","Higher","Dec-17","2.04082","%","","",""
"Indian","Higher","Dec-17","2.04082","%","","",""
"Pakistani","Higher","Dec-17","0","%","","",""
"Bangladeshi","Higher","Dec-17","0","%","","",""
"Asian other","Higher","Dec-17","0","%","","",""
"Black","Higher","Dec-17","2.04082","%","","",""
"Black Caribbean","Higher","Dec-17","0","%","","",""
"Black African","Higher","Dec-17","0","%","","",""
"Black other ","Higher","Dec-17","2.04082","%","","",""
"Other inc Chinese","Higher","Dec-17","0","%","","",""
"Chinese","Higher","Dec-17","0","%","","",""
"Any other","Higher","Dec-17","0","%","","",""
"All","Higher","Dec-17","100","%","","",""
"White","CBE","Dec-17","92.63158","%","","",""
"White British","CBE","Dec-17","89.47368","%","","",""
"White other","CBE","Dec-17","3.15789","%","","",""
"Mixed","CBE","Dec-17","4.21053","%","","",""
"Mixed White/Black Caribbean","CBE","Dec-17","1.05263","%","","",""
"Mixed White/Black African","CBE","Dec-17","0","%","","",""
"Mixed White/Asian","CBE","Dec-17","0","%","","",""
"Mixed other","CBE","Dec-17","3.15789","%","","",""
"Asian","CBE","Dec-17","1.05263","%","","",""
"Indian","CBE","Dec-17","0","%","","",""
"Pakistani","CBE","Dec-17","0","%","","",""
"Bangladeshi","CBE","Dec-17","0","%","","",""
"Asian other","CBE","Dec-17","1.05263","%","","",""
"Black","CBE","Dec-17","1.05263","%","","",""
"Black Caribbean","CBE","Dec-17","1.05263","%","","",""
"Black African","CBE","Dec-17","0","%","","",""
"Black other ","CBE","Dec-17","0","%","","",""
"Other inc Chinese","CBE","Dec-17","1.05263","%","","",""
"Chinese","CBE","Dec-17","1.05263","%","","",""
"Any other","CBE","Dec-17","0","%","","",""
"All","CBE","Dec-17","100","%","","",""
"White","OBE","Dec-17","90.54726","%","","",""
"White British","OBE","Dec-17","86.56716","%","","",""
"White other","OBE","Dec-17","2.98507","%","","",""
"Mixed","OBE","Dec-17","0","%","","",""
"Mixed White/Black Caribbean","OBE","Dec-17","0","%","","",""
"Mixed White/Black African","OBE","Dec-17","0","%","","",""
"Mixed White/Asian","OBE","Dec-17","0","%","","",""
"Mixed other","OBE","Dec-17","0","%","","",""
"Asian","OBE","Dec-17","7.46269","%","","",""
"Indian","OBE","Dec-17","4.97512","%","","",""
"Pakistani","OBE","Dec-17","0.99502","%","","",""
"Bangladeshi","OBE","Dec-17","0.99502","%","","",""
"Asian other","OBE","Dec-17","0.49751","%","","",""
"Black","OBE","Dec-17","1.99005","%","","",""
"Black Caribbean","OBE","Dec-17","1.49254","%","","",""
"Black African","OBE","Dec-17","0","%","","",""
"Black other ","OBE","Dec-17","0.49751","%","","",""
"Other inc Chinese","OBE","Dec-17","0.99502","%","","",""
"Chinese","OBE","Dec-17","0.99502","%","","",""
"Any other","OBE","Dec-17","0","%","","",""
"All","OBE","Dec-17","100","%","","",""
"White","MBE","Dec-17","88.24885","%","","",""
"White British","MBE","Dec-17","86.86636","%","","",""
"White other","MBE","Dec-17","1.38249","%","","",""
"Mixed","MBE","Dec-17","1.6129","%","","",""
"Mixed White/Black Caribbean","MBE","Dec-17","0.69124","%","","",""
"Mixed White/Black African","MBE","Dec-17","0.46083","%","","",""
"Mixed White/Asian","MBE","Dec-17","0.23041","%","","",""
"Mixed other","MBE","Dec-17","0.23041","%","","",""
"Asian","MBE","Dec-17","4.83871","%","","",""
"Indian","MBE","Dec-17","2.30415","%","","",""
"Pakistani","MBE","Dec-17","1.6129","%","","",""
"Bangladeshi","MBE","Dec-17","0.46083","%","","",""
"Asian other","MBE","Dec-17","0.46083","%","","",""
"Black","MBE","Dec-17","4.83871","%","","",""
"Black Caribbean","MBE","Dec-17","2.99539","%","","",""
"Black African","MBE","Dec-17","1.15207","%","","",""
"Black other ","MBE","Dec-17","0.69124","%","","",""
"Other inc Chinese","MBE","Dec-17","0.46083","%","","",""
"Chinese","MBE","Dec-17","0.46083","%","","",""
"Any other","MBE","Dec-17","0","%","","",""
"All","MBE","Dec-17","100","%","","",""
"White","BEM","Dec-17","94.80519","%","","",""
"White British","BEM","Dec-17","92.20779","%","","",""
"White other","BEM","Dec-17","2.5974","%","","",""
"Mixed","BEM","Dec-17","0.32468","%","","",""
"Mixed White/Black Caribbean","BEM","Dec-17","0","%","","",""
"Mixed White/Black African","BEM","Dec-17","0.32468","%","","",""
"Mixed White/Asian","BEM","Dec-17","0","%","","",""
"Mixed other","BEM","Dec-17","0","%","","",""
"Asian","BEM","Dec-17","2.27273","%","","",""
"Indian","BEM","Dec-17","2.27273","%","","",""
"Pakistani","BEM","Dec-17","0","%","","",""
"Bangladeshi","BEM","Dec-17","0","%","","",""
"Asian other","BEM","Dec-17","0","%","","",""
"Black","BEM","Dec-17","2.5974","%","","",""
"Black Caribbean","BEM","Dec-17","1.2987","%","","",""
"Black African","BEM","Dec-17","1.2987","%","","",""
"Black other ","BEM","Dec-17","0","%","","",""
"Other inc Chinese","BEM","Dec-17","0","%","","",""
"Chinese","BEM","Dec-17","0","%","","",""
"Any other","BEM","Dec-17","0","%","","",""
"All","BEM","Dec-17","100","%","","",""
"White","All","Dec-17","90.89236","%","","",""
"White British","All","Dec-17","88.77645","%","","",""
"White other","All","Dec-17","2.11592","%","","",""
"Mixed","All","Dec-17","1.28795","%","","",""
"Mixed White/Black Caribbean","All","Dec-17","0.36799","%","","",""
"Mixed White/Black African","All","Dec-17","0.45998","%","","",""
"Mixed White/Asian","All","Dec-17","0.092","%","","",""
"Mixed other","All","Dec-17","0.36799","%","","",""
"Asian","All","Dec-17","4.13983","%","","",""
"Indian","All","Dec-17","2.5759","%","","",""
"Pakistani","All","Dec-17","0.82797","%","","",""
"Bangladeshi","All","Dec-17","0.36799","%","","",""
"Asian other","All","Dec-17","0.36799","%","","",""
"Black","All","Dec-17","3.21987","%","","",""
"Black Caribbean","All","Dec-17","1.93192","%","","",""
"Black African","All","Dec-17","0.82797","%","","",""
"Black other ","All","Dec-17","0.45998","%","","",""
"Other inc Chinese","All","Dec-17","0.45998","%","","",""
"Chinese","All","Dec-17","0.45998","%","","",""
"Any other","All","Dec-17","0","%","","",""
"All","All","Dec-17","100","%","","",""
"Unknown ","Higher","Dec-17","1","number ","","",""
"Unknown ","CBE","Dec-17","0","number ","","",""
"Unknown ","OBE","Dec-17","10","number ","","",""
"Unknown ","MBE","Dec-17","18","number ","","",""
"Unknown ","BEM","Dec-17","10","number ","","",""
"Unknown ","All","Dec-17","39","number ","","",""
"White","Higher","Jun-17","35","number ","","",""
"White British","Higher","Jun-17","33","number ","","",""
"White other","Higher","Jun-17","2","number ","","",""
"Mixed","Higher","Jun-17","0","number ","","",""
"Mixed White/Black Caribbean","Higher","Jun-17","0","number ","","",""
"Mixed White/Black African","Higher","Jun-17","0","number ","","",""
"Mixed White/Asian","Higher","Jun-17","0","number ","","",""
"Mixed other","Higher","Jun-17","0","number ","","",""
"Asian","Higher","Jun-17","1","number ","","",""
"Indian","Higher","Jun-17","1","number ","","",""
"Pakistani","Higher","Jun-17","0","number ","","",""
"Bangladeshi","Higher","Jun-17","0","number ","","",""
"Asian other","Higher","Jun-17","0","number ","","",""
"Black","Higher","Jun-17","0","number ","","",""
"Black Caribbean","Higher","Jun-17","0","number ","","",""
"Black African","Higher","Jun-17","0","number ","","",""
"Black other ","Higher","Jun-17","0","number ","","",""
"Other inc Chinese","Higher","Jun-17","1","number ","","",""
"Chinese","Higher","Jun-17","1","number ","","",""
"Any other","Higher","Jun-17","0","number ","","",""
"All","Higher","Jun-17","37","number ","","",""
"White","CBE","Jun-17","94","number ","","",""
"White British","CBE","Jun-17","93","number ","","",""
"White other","CBE","Jun-17","1","number ","","",""
"Mixed","CBE","Jun-17","1","number ","","",""
"Mixed White/Black Caribbean","CBE","Jun-17","0","number ","","",""
"Mixed White/Black African","CBE","Jun-17","1","number ","","",""
"Mixed White/Asian","CBE","Jun-17","0","number ","","",""
"Mixed other","CBE","Jun-17","0","number ","","",""
"Asian","CBE","Jun-17","2","number ","","",""
"Indian","CBE","Jun-17","2","number ","","",""
"Pakistani","CBE","Jun-17","0","number ","","",""
"Bangladeshi","CBE","Jun-17","0","number ","","",""
"Asian other","CBE","Jun-17","0","number ","","",""
"Black","CBE","Jun-17","2","number ","","",""
"Black Caribbean","CBE","Jun-17","1","number ","","",""
"Black African","CBE","Jun-17","0","number ","","",""
"Black other ","CBE","Jun-17","1","number ","","",""
"Other inc Chinese","CBE","Jun-17","0","number ","","",""
"Chinese","CBE","Jun-17","0","number ","","",""
"Any other","CBE","Jun-17","0","number ","","",""
"All","CBE","Jun-17","99","number ","","",""
"White","OBE","Jun-17","185","number ","","",""
"White British","OBE","Jun-17","180","number ","","",""
"White other","OBE","Jun-17","5","number ","","",""
"Mixed","OBE","Jun-17","2","number ","","",""
"Mixed White/Black Caribbean","OBE","Jun-17","1","number ","","",""
"Mixed White/Black African","OBE","Jun-17","1","number ","","",""
