"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","All","5+1","England","27","10,014"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Asian","5+1","England","37","1,086"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Black","5+1","England","44","349"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Mixed","5+1","England","37","446"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","White","5+1","England","25","7,854"
"Feeling of being able to influence decisions affecting the local area","2016-17","Year","Other","5+1","England","34","158"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","All","5+1","England","26","9,994"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Asian","5+1","England","34","903"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Black","5+1","England","43","348"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Mixed","5+1","England","34","494"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","White","5+1","England","24","7,943"
"Feeling of being able to influence decisions affecting the local area","2017-18","Year","Other","5+1","England","40","120"
"Feeling of being able to influence decisions affecting the local area","2018-19","Year","All","5+1","England","25","10,417"
"Feeling of being able to influence decisions affecting the local area","2018-19","Year","Asian","5+1","England","32","887"
"Feeling of being able to influence decisions affecting the local area","2018-19","Year","Black","5+1","England","48","337"
"Feeling of being able to influence decisions affecting the local area","2018-19","Year","Mixed","5+1","England","35","486"
"Feeling of being able to influence decisions affecting the local area","2018-19","Year","White","5+1","England","24","8,412"
"Feeling of being able to influence decisions affecting the local area","2018-19","Year","Other","5+1","England","30","121"
