"Ethnicity","Category","Time","Value","Number"
"Chinese","MBE","Dec-17","0.460829493","2"
"Asian other","MBE","Dec-17","0.460829493","2"
"Black","MBE","Dec-17","4.838709677","21"
"Black Caribbean","MBE","Dec-17","2.995391705","13"
"Black African","MBE","Dec-17","1.152073733","5"
"Black other ","MBE","Dec-17","0.69124424","3"
"Mixed","MBE","Dec-17","1.612903226","7"
"Mixed White/Black Caribbean","MBE","Dec-17","0.69124424","3"
"Mixed White/Black African","MBE","Dec-17","0.460829493","2"
"Mixed White/Asian","MBE","Dec-17","0.230414747","1"
"Mixed other","MBE","Dec-17","0.230414747","1"
"White","MBE","Dec-17","88.24884793","383"
"White British","MBE","Dec-17","86.86635945","377"
"White other","MBE","Dec-17","1.382488479","6"
"Any other","MBE","Dec-17","0","0"
"Unknown ","MBE","Dec-17","!","18"
"All","BEM","Dec-17","100","308"
"Asian","BEM","Dec-17","2.272727273","7"
"Indian","BEM","Dec-17","2.272727273","7"
"Pakistani","BEM","Dec-17","0","0"
"Bangladeshi","BEM","Dec-17","0","0"
"Chinese","BEM","Dec-17","0","0"
"Asian other","BEM","Dec-17","0","0"
"Black","BEM","Dec-17","2.597402597","8"
"Black Caribbean","BEM","Dec-17","1.298701299","4"
"Black African","BEM","Dec-17","1.298701299","4"
"Black other ","BEM","Dec-17","0","0"
"Mixed","BEM","Dec-17","0.324675325","1"
"Mixed White/Black Caribbean","BEM","Dec-17","0","0"
"Mixed White/Black African","BEM","Dec-17","0.324675325","1"
"Mixed White/Asian","BEM","Dec-17","0","0"
"Mixed other","BEM","Dec-17","0","0"
"White","BEM","Dec-17","94.80519481","292"
"White British","BEM","Dec-17","92.20779221","284"
"White other","BEM","Dec-17","2.597402597","8"
"Any other","BEM","Dec-17","0","0"
"Unknown ","BEM","Dec-17","!","10"
"All","All","Jun-17","100","1064"
"Asian","All","Jun-17","6.109022556","65"
"Indian","All","Jun-17","3.195488722","34"
"Pakistani","All","Jun-17","1.409774436","15"
"Bangladeshi","All","Jun-17","0.281954887","3"
"Chinese","All","Jun-17","0.093984962","1"
"Asian other","All","Jun-17","1.127819549","12"
"Black","All","Jun-17","2.631578947","28"
"Black Caribbean","All","Jun-17","1.315789474","14"
"Black African","All","Jun-17","1.221804511","13"
"Black other ","All","Jun-17","0.093984962","1"
"Mixed","All","Jun-17","0.939849624","10"
"Mixed White/Black Caribbean","All","Jun-17","0.187969925","2"
"Mixed White/Black African","All","Jun-17","0.469924812","5"
"Mixed White/Asian","All","Jun-17","0.187969925","2"
"Mixed other","All","Jun-17","0.093984962","1"
"White","All","Jun-17","90.31954887","961"
"White British","All","Jun-17","88.72180451","944"
"White other","All","Jun-17","1.597744361","17"
"Any other","All","Jun-17","0","0"
"Unknown ","All","Jun-17","!","41"
"All","Higher","Jun-17","100","37"
"Asian","Higher","Jun-17","5.405405405","2"
"Indian","Higher","Jun-17","2.702702703","1"
"Pakistani","Higher","Jun-17","0","0"
"Bangladeshi","Higher","Jun-17","0","0"
"Chinese","Higher","Jun-17","2.702702703","1"
"Asian other","Higher","Jun-17","0","0"
"Black","Higher","Jun-17","0","0"
"Black Caribbean","Higher","Jun-17","0","0"
"Black African","Higher","Jun-17","0","0"
"Black other ","Higher","Jun-17","0","0"
"Mixed","Higher","Jun-17","0","0"
"Mixed White/Black Caribbean","Higher","Jun-17","0","0"
"Mixed White/Black African","Higher","Jun-17","0","0"
"Mixed White/Asian","Higher","Jun-17","0","0"
"Mixed other","Higher","Jun-17","0","0"
"White","Higher","Jun-17","94.59459459","35"
"White British","Higher","Jun-17","89.18918919","33"
"White other","Higher","Jun-17","5.405405405","2"
"Any other","Higher","Jun-17","0","0"
"Unknown ","Higher","Jun-17","!","8"
"All","CBE","Jun-17","100","99"
"Asian","CBE","Jun-17","2.02020202","2"
"Indian","CBE","Jun-17","2.02020202","2"
"Pakistani","CBE","Jun-17","0","0"
"Bangladeshi","CBE","Jun-17","0","0"
"Chinese","CBE","Jun-17","0","0"
"Asian other","CBE","Jun-17","0","0"
"Black","CBE","Jun-17","2.02020202","2"
"Black Caribbean","CBE","Jun-17","1.01010101","1"
"Black African","CBE","Jun-17","0","0"
"Black other ","CBE","Jun-17","1.01010101","1"
"Mixed","CBE","Jun-17","1.01010101","1"
"Mixed White/Black Caribbean","CBE","Jun-17","0","0"
"Mixed White/Black African","CBE","Jun-17","1.01010101","1"
"Mixed White/Asian","CBE","Jun-17","0","0"
"Mixed other","CBE","Jun-17","0","0"
"White","CBE","Jun-17","94.94949495","94"
"White British","CBE","Jun-17","93.93939394","93"
"White other","CBE","Jun-17","1.01010101","1"
"Any other","CBE","Jun-17","0","0"
"Unknown ","CBE","Jun-17","!","0"
"All","OBE","Jun-17","100","210"
"Asian","OBE","Jun-17","8.095238095","17"
"Indian","OBE","Jun-17","5.238095238","11"
"Pakistani","OBE","Jun-17","0.952380952","2"
"Bangladeshi","OBE","Jun-17","0.476190476","1"
"Chinese","OBE","Jun-17","0","0"
"Asian other","OBE","Jun-17","1.428571429","3"
"Black","OBE","Jun-17","2.857142857","6"
"Black Caribbean","OBE","Jun-17","1.428571429","3"
"Black African","OBE","Jun-17","1.428571429","3"
"Black other ","OBE","Jun-17","0","0"
"Mixed","OBE","Jun-17","0.952380952","2"
"Mixed White/Black Caribbean","OBE","Jun-17","0.476190476","1"
"Mixed White/Black African","OBE","Jun-17","0.476190476","1"
"Mixed White/Asian","OBE","Jun-17","0","0"
"Mixed other","OBE","Jun-17","0","0"
"White","OBE","Jun-17","88.0952381","185"
"White British","OBE","Jun-17","85.71428571","180"
"White other","OBE","Jun-17","2.380952381","5"
"Any other","OBE","Jun-17","0","0"
"Unknown ","OBE","Jun-17","!","11"
"All","MBE","Jun-17","100","423"
"Asian","MBE","Jun-17","8.037825059","34"
"Indian","MBE","Jun-17","3.78250591","16"
"Pakistani","MBE","Jun-17","2.127659574","9"
"Bangladeshi","MBE","Jun-17","0.472813239","2"
"Chinese","MBE","Jun-17","0","0"
"Asian other","MBE","Jun-17","1.654846336","7"
"Black","MBE","Jun-17","4.01891253","17"
"Black Caribbean","MBE","Jun-17","1.891252955","8"
"Black African","MBE","Jun-17","2.127659574","9"
"Black other ","MBE","Jun-17","0","0"
"Mixed","MBE","Jun-17","1.182033097","5"
"Mixed White/Black Caribbean","MBE","Jun-17","0","0"
"Mixed White/Black African","MBE","Jun-17","0.709219858","3"
"Mixed White/Asian","MBE","Jun-17","0.236406619","1"
"Mixed other","MBE","Jun-17","0.236406619","1"
"White","MBE","Jun-17","86.76122931","367"
"White British","MBE","Jun-17","85.81560284","363"
"White other","MBE","Jun-17","0.945626478","4"
"Any other","MBE","Jun-17","0","0"
"Unknown ","MBE","Jun-17","!","14"
"All","BEM","Jun-17","100","295"
"Asian","BEM","Jun-17","3.389830508","10"
"Indian","BEM","Jun-17","1.355932203","4"
"Pakistani","BEM","Jun-17","1.355932203","4"
"Bangladeshi","BEM","Jun-17","0","0"
"Chinese","BEM","Jun-17","0","0"
"Asian other","BEM","Jun-17","0.677966102","2"
"Black","BEM","Jun-17","1.016949153","3"
"Black Caribbean","BEM","Jun-17","0.677966102","2"
"Black African","BEM","Jun-17","0.338983051","1"
"Black other ","BEM","Jun-17","0","0"
"Mixed","BEM","Jun-17","0.677966102","2"
"Mixed White/Black Caribbean","BEM","Jun-17","0.338983051","1"
"Mixed White/Black African","BEM","Jun-17","0","0"
"Mixed White/Asian","BEM","Jun-17","0.338983051","1"
"Mixed other","BEM","Jun-17","0","0"
"White","BEM","Jun-17","94.91525424","280"
"White British","BEM","Jun-17","93.22033898","275"
"White other","BEM","Jun-17","1.694915254","5"
"Any other","BEM","Jun-17","0","0"
"Unknown ","BEM","Jun-17","!","8"
"All","All","Dec-16","100","1072"
"Asian","All","Dec-16","5.690298507","61"
"Indian","All","Dec-16","3.824626866","41"
"Pakistani","All","Dec-16","0.746268657","8"
"Bangladeshi","All","Dec-16","0.093283582","1"
"Chinese","All","Dec-16","0.279850746","3"
"Asian other","All","Dec-16","0.746268657","8"
"Black","All","Dec-16","2.23880597","24"
"Black Caribbean","All","Dec-16","1.212686567","13"
"Black African","All","Dec-16","0.559701493","6"
"Black other ","All","Dec-16","0.46641791","5"
"Mixed","All","Dec-16","1.119402985","12"
"Mixed White/Black Caribbean","All","Dec-16","0.093283582","1"
"Mixed White/Black African","All","Dec-16","0.373134328","4"
"Mixed White/Asian","All","Dec-16","0.373134328","4"
"Mixed other","All","Dec-16","0.279850746","3"
"White","All","Dec-16","90.67164179","972"
"White British","All","Dec-16","88.61940299","950"
"White other","All","Dec-16","2.052238806","22"
"Any other","All","Dec-16","0.279850746","3"
"Unknown ","All","Dec-16","!","96"
"All","Higher","Dec-16","100","37"
"Asian","Higher","Dec-16","2.702702703","1"
"Indian","Higher","Dec-16","2.702702703","1"
"Pakistani","Higher","Dec-16","0","0"
"Bangladeshi","Higher","Dec-16","0","0"
"Chinese","Higher","Dec-16","0","0"
"Asian other","Higher","Dec-16","0","0"
"Black","Higher","Dec-16","2.702702703","1"
"Black Caribbean","Higher","Dec-16","0","0"
"Black African","Higher","Dec-16","2.702702703","1"
"Black other ","Higher","Dec-16","0","0"
"Mixed","Higher","Dec-16","2.702702703","1"
"Mixed White/Black Caribbean","Higher","Dec-16","0","0"
"Mixed White/Black African","Higher","Dec-16","2.702702703","1"
"Mixed White/Asian","Higher","Dec-16","0","0"
"Mixed other","Higher","Dec-16","0","0"
"White","Higher","Dec-16","91.89189189","34"
"White British","Higher","Dec-16","91.89189189","34"
"White other","Higher","Dec-16","0","0"
"Any other","Higher","Dec-16","0","0"
"Unknown ","Higher","Dec-16","!","17"
"All","CBE","Dec-16","100","96"
"Asian","CBE","Dec-16","6.25","6"
"Indian","CBE","Dec-16","4.166666667","4"
"Pakistani","CBE","Dec-16","0","0"
"Bangladeshi","CBE","Dec-16","0","0"
"Chinese","CBE","Dec-16","1.041666667","1"
"Asian other","CBE","Dec-16","1.041666667","1"
"Black","CBE","Dec-16","0","0"
"Black Caribbean","CBE","Dec-16","0","0"
"Black African","CBE","Dec-16","0","0"
"Black other ","CBE","Dec-16","0","0"
"Mixed","CBE","Dec-16","0","0"
"Mixed White/Black Caribbean","CBE","Dec-16","0","0"
"Mixed White/Black African","CBE","Dec-16","0","0"
"Mixed White/Asian","CBE","Dec-16","0","0"
"Mixed other","CBE","Dec-16","0","0"
"White","CBE","Dec-16","93.75","90"
"White British","CBE","Dec-16","90.625","87"
"White other","CBE","Dec-16","3.125","3"
"Any other","CBE","Dec-16","0","0"
"Unknown ","CBE","Dec-16","!","0"
"All","OBE","Dec-16","100","193"
"Asian","OBE","Dec-16","4.663212435","9"
"Indian","OBE","Dec-16","3.626943005","7"
"Pakistani","OBE","Dec-16","1.03626943","2"
"Bangladeshi","OBE","Dec-16","0","0"
"Chinese","OBE","Dec-16","0","0"
"Asian other","OBE","Dec-16","0","0"
"Black","OBE","Dec-16","2.07253886","4"
"Black Caribbean","OBE","Dec-16","2.07253886","4"
"Black African","OBE","Dec-16","0","0"
"Black other ","OBE","Dec-16","0","0"
"Mixed","OBE","Dec-16","1.554404145","3"
"Mixed White/Black Caribbean","OBE","Dec-16","0","0"
"Mixed White/Black African","OBE","Dec-16","1.03626943","2"
"Mixed White/Asian","OBE","Dec-16","0.518134715","1"
"Mixed other","OBE","Dec-16","0","0"
"White","OBE","Dec-16","91.19170984","176"
"White British","OBE","Dec-16","89.6373057","173"
"White other","OBE","Dec-16","1.554404145","3"
"Any other","OBE","Dec-16","0.518134715","1"
"Unknown ","OBE","Dec-16","!","18"
"All","MBE","Dec-16","100","442"
"Asian","MBE","Dec-16","6.561085973","29"
"Indian","MBE","Dec-16","4.751131222","21"
"Pakistani","MBE","Dec-16","0.452488688","2"
"Bangladeshi","MBE","Dec-16","0","0"
"Chinese","MBE","Dec-16","0.226244344","1"
"Asian other","MBE","Dec-16","1.131221719","5"
"Black","MBE","Dec-16","2.714932127","12"
"Black Caribbean","MBE","Dec-16","1.809954751","8"
"Black African","MBE","Dec-16","0.226244344","1"
"Black other ","MBE","Dec-16","0.678733032","3"
"Mixed","MBE","Dec-16","1.357466063","6"
"Mixed White/Black Caribbean","MBE","Dec-16","0.226244344","1"
"Mixed White/Black African","MBE","Dec-16","0.226244344","1"
"Mixed White/Asian","MBE","Dec-16","0.678733032","3"
"Mixed other","MBE","Dec-16","0.226244344","1"
"White","MBE","Dec-16","88.91402715","393"
"White British","MBE","Dec-16","85.97285068","380"
"White other","MBE","Dec-16","2.941176471","13"
"Any other","MBE","Dec-16","0.452488688","2"
"Unknown ","MBE","Dec-16","!","47"
"All","BEM","Dec-16","100","304"
"Asian","BEM","Dec-16","5.263157895","16"
"Indian","BEM","Dec-16","2.631578947","8"
"Pakistani","BEM","Dec-16","1.315789474","4"
"Bangladeshi","BEM","Dec-16","0.328947368","1"
"Chinese","BEM","Dec-16","0.328947368","1"
"Asian other","BEM","Dec-16","0.657894737","2"
"Black","BEM","Dec-16","2.302631579","7"
"Black Caribbean","BEM","Dec-16","0.328947368","1"
"Black African","BEM","Dec-16","1.315789474","4"
"Black other ","BEM","Dec-16","0.657894737","2"
"Mixed","BEM","Dec-16","0.657894737","2"
"Mixed White/Black Caribbean","BEM","Dec-16","0","0"
"Mixed White/Black African","BEM","Dec-16","0","0"
"Mixed White/Asian","BEM","Dec-16","0","0"
"Mixed other","BEM","Dec-16","0.657894737","2"
"White","BEM","Dec-16","91.77631579","279"
"White British","BEM","Dec-16","90.78947368","276"
"White other","BEM","Dec-16","0.986842105","3"
"Any other","BEM","Dec-16","0","0"
"Unknown ","BEM","Dec-16","!","14"
"All","All","Jun-16","100","1109"
"Asian","All","Jun-16","4.41839495","49"
"Indian","All","Jun-16","2.61496844","29"
"Pakistani","All","Jun-16","0.901713255","10"
"Bangladeshi","All","Jun-16","0.360685302","4"
"Chinese","All","Jun-16","0.180342651","2"
"Asian other","All","Jun-16","0.360685302","4"
"Black","All","Jun-16","2.524797115","28"
"Black Caribbean","All","Jun-16","1.352569883","15"
"Black African","All","Jun-16","0.901713255","10"
"Black other ","All","Jun-16","0.270513977","3"
"Mixed","All","Jun-16","1.082055906","12"
"Mixed White/Black Caribbean","All","Jun-16","0.270513977","3"
"Mixed White/Black African","All","Jun-16","0.090171326","1"
"Mixed White/Asian","All","Jun-16","0.360685302","4"
"Mixed other","All","Jun-16","0.360685302","4"
"White","All","Jun-16","91.79440938","1018"
"White British","All","Jun-16","89.81064022","996"
"White other","All","Jun-16","1.983769161","22"
"Any other","All","Jun-16","0.180342651","2"
"Unknown ","All","Jun-16","!","40"
"All","Higher","Jun-16","100","36"
"Asian","Higher","Jun-16","0","0"
"Indian","Higher","Jun-16","0","0"
"Pakistani","Higher","Jun-16","0","0"
"Bangladeshi","Higher","Jun-16","0","0"
"Chinese","Higher","Jun-16","0","0"
"Asian other","Higher","Jun-16","0","0"
"Black","Higher","Jun-16","2.777777778","1"
"Black Caribbean","Higher","Jun-16","0","0"
"Black African","Higher","Jun-16","0","0"
"Black other ","Higher","Jun-16","2.777777778","1"
"Mixed","Higher","Jun-16","2.777777778","1"
"Mixed White/Black Caribbean","Higher","Jun-16","0","0"
"Mixed White/Black African","Higher","Jun-16","0","0"
"Mixed White/Asian","Higher","Jun-16","0","0"
"Mixed other","Higher","Jun-16","2.777777778","1"
"White","Higher","Jun-16","94.44444444","34"
"White British","Higher","Jun-16","94.44444444","34"
"White other","Higher","Jun-16","0","0"
"Any other","Higher","Jun-16","0","0"
"Unknown ","Higher","Jun-16","!","5"
"All","CBE","Jun-16","100","104"
"Asian","CBE","Jun-16","3.846153846","4"
"Indian","CBE","Jun-16","1.923076923","2"
"Pakistani","CBE","Jun-16","1.923076923","2"
"Bangladeshi","CBE","Jun-16","0","0"
"Chinese","CBE","Jun-16","0","0"
"Asian other","CBE","Jun-16","0","0"
"Black","CBE","Jun-16","1.923076923","2"
"Black Caribbean","CBE","Jun-16","1.923076923","2"
"Black African","CBE","Jun-16","0","0"
"Black other ","CBE","Jun-16","0","0"
"Mixed","CBE","Jun-16","0.961538462","1"
"Mixed White/Black Caribbean","CBE","Jun-16","0","0"
"Mixed White/Black African","CBE","Jun-16","0","0"
"Mixed White/Asian","CBE","Jun-16","0.961538462","1"
"Mixed other","CBE","Jun-16","0","0"
"White","CBE","Jun-16","93.26923077","97"
"White British","CBE","Jun-16","89.42307692","93"
"White other","CBE","Jun-16","3.846153846","4"
"Any other","CBE","Jun-16","0","0"
"Unknown ","CBE","Jun-16","!","0"
"All","OBE","Jun-16","100","210"
"Asian","OBE","Jun-16","4.285714286","9"
"Indian","OBE","Jun-16","1.904761905","4"
"Pakistani","OBE","Jun-16","1.428571429","3"
"Bangladeshi","OBE","Jun-16","0","0"
"Chinese","OBE","Jun-16","0","0"
"Asian other","OBE","Jun-16","0.952380952","2"
"Black","OBE","Jun-16","1.904761905","4"
"Black Caribbean","OBE","Jun-16","0.952380952","2"
"Black African","OBE","Jun-16","0.952380952","2"
"Black other ","OBE","Jun-16","0","0"
"Mixed","OBE","Jun-16","1.428571429","3"
"Mixed White/Black Caribbean","OBE","Jun-16","0.476190476","1"
"Mixed White/Black African","OBE","Jun-16","0","0"
"Mixed White/Asian","OBE","Jun-16","0","0"
"Mixed other","OBE","Jun-16","0.952380952","2"
"White","OBE","Jun-16","92.38095238","194"
"White British","OBE","Jun-16","89.04761905","187"
"White other","OBE","Jun-16","3.333333333","7"
"Any other","OBE","Jun-16","0","0"
"Unknown ","OBE","Jun-16","!","5"
"All","MBE","Jun-16","100","462"
"Asian","MBE","Jun-16","6.277056277","29"
"Indian","MBE","Jun-16","4.112554113","19"
"Pakistani","MBE","Jun-16","0.649350649","3"
"Bangladeshi","MBE","Jun-16","0.865800866","4"
"Chinese","MBE","Jun-16","0.216450216","1"
"Asian other","MBE","Jun-16","0.432900433","2"
"Black","MBE","Jun-16","3.896103896","18"
"Black Caribbean","MBE","Jun-16","2.164502165","10"
"Black African","MBE","Jun-16","1.298701299","6"
"Black other ","MBE","Jun-16","0.432900433","2"
"Mixed","MBE","Jun-16","1.515151515","7"
"Mixed White/Black Caribbean","MBE","Jun-16","0.432900433","2"
"Mixed White/Black African","MBE","Jun-16","0.216450216","1"
"Mixed White/Asian","MBE","Jun-16","0.649350649","3"
"Mixed other","MBE","Jun-16","0.216450216","1"
"White","MBE","Jun-16","87.87878788","406"
"White British","MBE","Jun-16","86.14718615","398"
"White other","MBE","Jun-16","1.731601732","8"
"Any other","MBE","Jun-16","0.432900433","2"
"Unknown ","MBE","Jun-16","!","15"
"All","BEM","Jun-16","100","297"
"Asian","BEM","Jun-16","2.356902357","7"
"Indian","BEM","Jun-16","1.346801347","4"
"Pakistani","BEM","Jun-16","0.673400673","2"
"Bangladeshi","BEM","Jun-16","0","0"
"Chinese","BEM","Jun-16","0.336700337","1"
"Asian other","BEM","Jun-16","0","0"
"Black","BEM","Jun-16","1.01010101","3"
"Black Caribbean","BEM","Jun-16","0.336700337","1"
"Black African","BEM","Jun-16","0.673400673","2"
"Black other ","BEM","Jun-16","0","0"
"Mixed","BEM","Jun-16","0","0"
"Mixed White/Black Caribbean","BEM","Jun-16","0","0"
"Mixed White/Black African","BEM","Jun-16","0","0"
"Mixed White/Asian","BEM","Jun-16","0","0"
"Mixed other","BEM","Jun-16","0","0"
"White","BEM","Jun-16","96.63299663","287"
"White British","BEM","Jun-16","95.62289562","284"
"White other","BEM","Jun-16","1.01010101","3"
"Any other","BEM","Jun-16","0","0"
"Unknown ","BEM","Jun-16","!","15"
"All","All","Dec-15","100","1134"
"Asian","All","Dec-15","3.350970018","38"
"Indian","All","Dec-15","1.851851852","21"
"Pakistani","All","Dec-15","0.970017637","11"
"Bangladeshi","All","Dec-15","0","0"
"Chinese","All","Dec-15","0.088183422","1"
"Asian other","All","Dec-15","0.440917108","5"
"Black","All","Dec-15","1.851851852","21"
"Black Caribbean","All","Dec-15","1.322751323","15"
"Black African","All","Dec-15","0.529100529","6"
"Black other ","All","Dec-15","0","0"
"Mixed","All","Dec-15","0.529100529","6"
"Mixed White/Black Caribbean","All","Dec-15","0.440917108","5"
"Mixed White/Black African","All","Dec-15","0","0"
"Mixed White/Asian","All","Dec-15","0.088183422","1"
"Mixed other","All","Dec-15","0","0"
"White","All","Dec-15","94.17989418","1068"
"White British","All","Dec-15","92.23985891","1046"
"White other","All","Dec-15","1.940035273","22"
"Any other","All","Dec-15","0.088183422","1"
"Unknown ","All","Dec-15","!","53"
"All","Higher","Dec-15","100","38"
"Asian","Higher","Dec-15","2.631578947","1"
"Indian","Higher","Dec-15","2.631578947","1"
"Pakistani","Higher","Dec-15","0","0"
"Bangladeshi","Higher","Dec-15","0","0"
"Chinese","Higher","Dec-15","0","0"
"Asian other","Higher","Dec-15","0","0"
"Black","Higher","Dec-15","0","0"
"Black Caribbean","Higher","Dec-15","0","0"
"Black African","Higher","Dec-15","0","0"
"Black other ","Higher","Dec-15","0","0"
"Mixed","Higher","Dec-15","2.631578947","1"
"Mixed White/Black Caribbean","Higher","Dec-15","2.631578947","1"
"Mixed White/Black African","Higher","Dec-15","0","0"
"Mixed White/Asian","Higher","Dec-15","0","0"
"Mixed other","Higher","Dec-15","0","0"
"White","Higher","Dec-15","94.73684211","36"
"White British","Higher","Dec-15","94.73684211","36"
"White other","Higher","Dec-15","0","0"
"Any other","Higher","Dec-15","0","0"
"Unknown ","Higher","Dec-15","!","10"
"All","CBE","Dec-15","100","106"
"Asian","CBE","Dec-15","3.773584906","4"
"Indian","CBE","Dec-15","1.886792453","2"
"Pakistani","CBE","Dec-15","0.943396226","1"
"Bangladeshi","CBE","Dec-15","0","0"
"Chinese","CBE","Dec-15","0","0"
"Asian other","CBE","Dec-15","0.943396226","1"
"Black","CBE","Dec-15","0","0"
"Black Caribbean","CBE","Dec-15","0","0"
"Black African","CBE","Dec-15","0","0"
"Black other ","CBE","Dec-15","0","0"
"Mixed","CBE","Dec-15","0","0"
"Mixed White/Black Caribbean","CBE","Dec-15","0","0"
"Mixed White/Black African","CBE","Dec-15","0","0"
"Mixed White/Asian","CBE","Dec-15","0","0"
"Mixed other","CBE","Dec-15","0","0"
"White","CBE","Dec-15","96.22641509","102"
"White British","CBE","Dec-15","90.56603774","96"
"White other","CBE","Dec-15","5.660377358","6"
"Any other","CBE","Dec-15","0","0"
"Unknown ","CBE","Dec-15","!","0"
"All","OBE","Dec-15","100","228"
"Asian","OBE","Dec-15","2.631578947","6"
"Indian","OBE","Dec-15","2.192982456","5"
"Pakistani","OBE","Dec-15","0","0"
"Bangladeshi","OBE","Dec-15","0","0"
"Chinese","OBE","Dec-15","0","0"
"Asian other","OBE","Dec-15","0.438596491","1"
"Black","OBE","Dec-15","2.192982456","5"
"Black Caribbean","OBE","Dec-15","1.315789474","3"
"Black African","OBE","Dec-15","0.877192982","2"
"Black other ","OBE","Dec-15","0","0"
"Mixed","OBE","Dec-15","0","0"
"Mixed White/Black Caribbean","OBE","Dec-15","0","0"
"Mixed White/Black African","OBE","Dec-15","0","0"
"Mixed White/Asian","OBE","Dec-15","0","0"
"Mixed other","OBE","Dec-15","0","0"
"White","OBE","Dec-15","95.1754386","217"
"White British","OBE","Dec-15","93.42105263","213"
"White other","OBE","Dec-15","1.754385965","4"
"Any other","OBE","Dec-15","0","0"
"Unknown ","OBE","Dec-15","!","14"
"All","MBE","Dec-15","100","450"
"Asian","MBE","Dec-15","4.888888889","22"
"Indian","MBE","Dec-15","2.444444444","11"
"Pakistani","MBE","Dec-15","1.555555556","7"
"Bangladeshi","MBE","Dec-15","0","0"
"Chinese","MBE","Dec-15","0.222222222","1"
"Asian other","MBE","Dec-15","0.666666667","3"
"Black","MBE","Dec-15","2.666666667","12"
"Black Caribbean","MBE","Dec-15","2.222222222","10"
"Black African","MBE","Dec-15","0.444444444","2"
"Black other ","MBE","Dec-15","0","0"
"Mixed","MBE","Dec-15","0.666666667","3"
"Mixed White/Black Caribbean","MBE","Dec-15","0.444444444","2"
"Mixed White/Black African","MBE","Dec-15","0","0"
"Mixed White/Asian","MBE","Dec-15","0.222222222","1"
"Mixed other","MBE","Dec-15","0","0"
"White","MBE","Dec-15","91.55555556","412"
"White British","MBE","Dec-15","89.55555556","403"
"White other","MBE","Dec-15","2","9"
"Any other","MBE","Dec-15","0.222222222","1"
"Unknown ","MBE","Dec-15","!","12"
"All","BEM","Dec-15","100","312"
"Asian","BEM","Dec-15","1.602564103","5"
"Indian","BEM","Dec-15","0.641025641","2"
"Pakistani","BEM","Dec-15","0.961538462","3"
"Bangladeshi","BEM","Dec-15","0","0"
"Chinese","BEM","Dec-15","0","0"
"Asian other","BEM","Dec-15","0","0"
"Black","BEM","Dec-15","1.282051282","4"
"Black Caribbean","BEM","Dec-15","0.641025641","2"
"Black African","BEM","Dec-15","0.641025641","2"
"Black other ","BEM","Dec-15","0","0"
"Mixed","BEM","Dec-15","0.641025641","2"
"Mixed White/Black Caribbean","BEM","Dec-15","0.641025641","2"
"Mixed White/Black African","BEM","Dec-15","0","0"
"Mixed White/Asian","BEM","Dec-15","0","0"
"Mixed other","BEM","Dec-15","0","0"
"White","BEM","Dec-15","96.47435897","301"
"White British","BEM","Dec-15","95.51282051","298"
"White other","BEM","Dec-15","0.961538462","3"
"Any other","BEM","Dec-15","0","0"
"Unknown ","BEM","Dec-15","!","17"
"All","All","Jun-15","100","1130"
"Asian","All","Jun-15","3.716814159","42"
"Indian","All","Jun-15","2.212389381","25"
"Pakistani","All","Jun-15","0.796460177","9"
"Bangladeshi","All","Jun-15","0.17699115","2"
"Chinese","All","Jun-15","0.353982301","4"
"Asian other","All","Jun-15","0.17699115","2"
"Black","All","Jun-15","2.389380531","27"
"Black Caribbean","All","Jun-15","1.150442478","13"
"Black African","All","Jun-15","0.707964602","8"
"Black other ","All","Jun-15","0.530973451","6"
"Mixed","All","Jun-15","0.619469027","7"
"Mixed White/Black Caribbean","All","Jun-15","0.265486726","3"
"Mixed White/Black African","All","Jun-15","0","0"
"Mixed White/Asian","All","Jun-15","0.265486726","3"
"Mixed other","All","Jun-15","0.088495575","1"
"White","All","Jun-15","93.00884956","1051"
"White British","All","Jun-15","91.7699115","1037"
"White other","All","Jun-15","1.238938053","14"
"Any other","All","Jun-15","0.265486726","3"
"Unknown ","All","Jun-15","!","37"
"All","Higher","Jun-15","100","39"
"Asian","Higher","Jun-15","7.692307692","3"
"Indian","Higher","Jun-15","2.564102564","1"
"Pakistani","Higher","Jun-15","2.564102564","1"
"Bangladeshi","Higher","Jun-15","0","0"
"Chinese","Higher","Jun-15","0","0"
"Asian other","Higher","Jun-15","2.564102564","1"
"Black","Higher","Jun-15","2.564102564","1"
"Black Caribbean","Higher","Jun-15","2.564102564","1"
"Black African","Higher","Jun-15","0","0"
"Black other ","Higher","Jun-15","0","0"
"Mixed","Higher","Jun-15","5.128205128","2"
"Mixed White/Black Caribbean","Higher","Jun-15","0","0"
"Mixed White/Black African","Higher","Jun-15","0","0"
"Mixed White/Asian","Higher","Jun-15","2.564102564","1"
"Mixed other","Higher","Jun-15","2.564102564","1"
"White","Higher","Jun-15","84.61538462","33"
"White British","Higher","Jun-15","82.05128205","32"
"White other","Higher","Jun-15","2.564102564","1"
"Any other","Higher","Jun-15","0","0"
"Unknown ","Higher","Jun-15","!","8"
"All","CBE","Jun-15","100","107"
"Asian","CBE","Jun-15","4.672897196","5"
"Indian","CBE","Jun-15","4.672897196","5"
"Pakistani","CBE","Jun-15","0","0"
"Bangladeshi","CBE","Jun-15","0","0"
"Chinese","CBE","Jun-15","0","0"
"Asian other","CBE","Jun-15","0","0"
"Black","CBE","Jun-15","0.934579439","1"
"Black Caribbean","CBE","Jun-15","0","0"
