"Ethnicity","Category","Time","Value","Number"
"Mixed White/Black Caribbean","BEM","Dec-19","0.381679389","1"
"Mixed White/Black African","BEM","Dec-19","0","0"
"Mixed White/Asian","BEM","Dec-19","0.763358779","2"
"Mixed other","BEM","Dec-19","0","0"
"White","BEM","Dec-19","90.83969466","238"
"White British","BEM","Dec-19","88.54961832","232"
"White other","BEM","Dec-19","2.290076336","6"
"Any other","BEM","Dec-19","0","0"
"Unknown ","BEM","Dec-19","!","53"
"All","All","Jun-19","100","939"
"Asian","All","Jun-19","5.750798722","54"
"Indian","All","Jun-19","3.833865815","36"
"Pakistani","All","Jun-19","0.851970181","8"
"Bangladeshi","All","Jun-19","0.319488818","3"
"Chinese","All","Jun-19","0.319488818","3"
"Asian other","All","Jun-19","0.425985091","4"
"Black","All","Jun-19","3.194888179","30"
"Black Caribbean","All","Jun-19","2.129925453","20"
"Black African","All","Jun-19","0.958466454","9"
"Black other ","All","Jun-19","0.106496273","1"
"Mixed","All","Jun-19","1.171458999","11"
"Mixed White/Black Caribbean","All","Jun-19","0.532481363","5"
"Mixed White/Black African","All","Jun-19","0.106496273","1"
"Mixed White/Asian","All","Jun-19","0.532481363","5"
"Mixed other","All","Jun-19","0","0"
"White","All","Jun-19","89.56336528","841"
"White British","All","Jun-19","88.92438765","835"
"White other","All","Jun-19","0.638977636","6"
"Any other","All","Jun-19","0.319488818","3"
"Unknown ","All","Jun-19","!","134"
"All","Higher","Jun-19","100","31"
"Asian","Higher","Jun-19","0","0"
"Indian","Higher","Jun-19","0","0"
"Pakistani","Higher","Jun-19","0","0"
"Bangladeshi","Higher","Jun-19","0","0"
"Chinese","Higher","Jun-19","0","0"
"Asian other","Higher","Jun-19","0","0"
"Black","Higher","Jun-19","3.225806452","1"
"Black Caribbean","Higher","Jun-19","3.225806452","1"
"Black African","Higher","Jun-19","0","0"
"Black other ","Higher","Jun-19","0","0"
"Mixed","Higher","Jun-19","0","0"
"Mixed White/Black Caribbean","Higher","Jun-19","0","0"
"Mixed White/Black African","Higher","Jun-19","0","0"
"Mixed White/Asian","Higher","Jun-19","0","0"
"Mixed other","Higher","Jun-19","0","0"
"White","Higher","Jun-19","96.77419355","30"
"White British","Higher","Jun-19","96.77419355","30"
"White other","Higher","Jun-19","0","0"
"Any other","Higher","Jun-19","0","0"
"Unknown ","Higher","Jun-19","!","16"
"All","CBE","Jun-19","100","95"
"Asian","CBE","Jun-19","2.105263158","2"
"Indian","CBE","Jun-19","2.105263158","2"
"Pakistani","CBE","Jun-19","0","0"
"Bangladeshi","CBE","Jun-19","0","0"
"Chinese","CBE","Jun-19","0","0"
"Asian other","CBE","Jun-19","0","0"
"Black","CBE","Jun-19","4.210526316","4"
"Black Caribbean","CBE","Jun-19","3.157894737","3"
"Black African","CBE","Jun-19","1.052631579","1"
"Black other ","CBE","Jun-19","0","0"
"Mixed","CBE","Jun-19","1.052631579","1"
"Mixed White/Black Caribbean","CBE","Jun-19","1.052631579","1"
"Mixed White/Black African","CBE","Jun-19","0","0"
"Mixed White/Asian","CBE","Jun-19","0","0"
"Mixed other","CBE","Jun-19","0","0"
"White","CBE","Jun-19","92.63157895","88"
"White British","CBE","Jun-19","92.63157895","88"
"White other","CBE","Jun-19","0","0"
"Any other","CBE","Jun-19","0","0"
"Unknown ","CBE","Jun-19","!","12"
"All","OBE","Jun-19","100","191"
"Asian","OBE","Jun-19","8.90052356","17"
"Indian","OBE","Jun-19","6.806282723","13"
"Pakistani","OBE","Jun-19","1.047120419","2"
"Bangladeshi","OBE","Jun-19","0","0"
"Chinese","OBE","Jun-19","0.523560209","1"
"Asian other","OBE","Jun-19","0.523560209","1"
"Black","OBE","Jun-19","4.712041885","9"
"Black Caribbean","OBE","Jun-19","3.664921466","7"
"Black African","OBE","Jun-19","0.523560209","1"
"Black other ","OBE","Jun-19","0.523560209","1"
"Mixed","OBE","Jun-19","2.094240838","4"
"Mixed White/Black Caribbean","OBE","Jun-19","1.047120419","2"
"Mixed White/Black African","OBE","Jun-19","0.523560209","1"
"Mixed White/Asian","OBE","Jun-19","0.523560209","1"
"Mixed other","OBE","Jun-19","0","0"
"White","OBE","Jun-19","84.29319372","161"
"White British","OBE","Jun-19","84.29319372","161"
"White other","OBE","Jun-19","0","0"
"Any other","OBE","Jun-19","0","0"
"Unknown ","OBE","Jun-19","!","24"
"All","MBE","Jun-19","100","339"
"Asian","MBE","Jun-19","7.079646018","24"
"Indian","MBE","Jun-19","5.014749263","17"
"Pakistani","MBE","Jun-19","0.884955752","3"
"Bangladeshi","MBE","Jun-19","0.589970501","2"
"Chinese","MBE","Jun-19","0.589970501","2"
"Asian other","MBE","Jun-19","0","0"
"Black","MBE","Jun-19","3.244837758","11"
"Black Caribbean","MBE","Jun-19","1.769911504","6"
"Black African","MBE","Jun-19","1.474926254","5"
"Black other ","MBE","Jun-19","0","0"
"Mixed","MBE","Jun-19","1.474926254","5"
"Mixed White/Black Caribbean","MBE","Jun-19","0.589970501","2"
"Mixed White/Black African","MBE","Jun-19","0","0"
"Mixed White/Asian","MBE","Jun-19","0.884955752","3"
"Mixed other","MBE","Jun-19","0","0"
"White","MBE","Jun-19","87.31563422","296"
"White British","MBE","Jun-19","86.13569322","292"
"White other","MBE","Jun-19","1.179941003","4"
"Any other","MBE","Jun-19","0.884955752","3"
"Unknown ","MBE","Jun-19","!","60"
"All","BEM","Jun-19","100","284"
"Asian","BEM","Jun-19","3.873239437","11"
"Indian","BEM","Jun-19","1.408450704","4"
"Pakistani","BEM","Jun-19","1.056338028","3"
"Bangladeshi","BEM","Jun-19","0.352112676","1"
"Chinese","BEM","Jun-19","0","0"
"Asian other","BEM","Jun-19","1.056338028","3"
"Black","BEM","Jun-19","2.112676056","6"
"Black Caribbean","BEM","Jun-19","1.408450704","4"
"Black African","BEM","Jun-19","0.704225352","2"
"Black other ","BEM","Jun-19","0","0"
"Mixed","BEM","Jun-19","0.352112676","1"
"Mixed White/Black Caribbean","BEM","Jun-19","0","0"
"Mixed White/Black African","BEM","Jun-19","0","0"
"Mixed White/Asian","BEM","Jun-19","0.352112676","1"
"Mixed other","BEM","Jun-19","0","0"
"White","BEM","Jun-19","93.66197183","266"
"White British","BEM","Jun-19","92.95774648","264"
"White other","BEM","Jun-19","0.704225352","2"
"Any other","BEM","Jun-19","0","0"
"Unknown ","BEM","Jun-19","!","22"
"All","All","Dec-18","100","974"
"Asian","All","Dec-18","6.160164271","60"
"Indian","All","Dec-18","3.901437372","38"
"Pakistani","All","Dec-18","1.232032854","12"
"Bangladeshi","All","Dec-18","0.308008214","3"
"Chinese","All","Dec-18","0.205338809","2"
"Asian other","All","Dec-18","0.513347023","5"
"Black","All","Dec-18","4.31211499","42"
"Black Caribbean","All","Dec-18","2.464065708","24"
"Black African","All","Dec-18","1.334702259","13"
"Black other ","All","Dec-18","0.513347023","5"
"Mixed","All","Dec-18","1.334702259","13"
"Mixed White/Black Caribbean","All","Dec-18","0.616016427","6"
"Mixed White/Black African","All","Dec-18","0.102669405","1"
"Mixed White/Asian","All","Dec-18","0.205338809","2"
"Mixed other","All","Dec-18","0.410677618","4"
"White","All","Dec-18","88.19301848","859"
"White British","All","Dec-18","87.06365503","848"
"White other","All","Dec-18","1.12936345","11"
"Any other","All","Dec-18","0","0"
"Unknown ","All","Dec-18","!","174"
"All","Higher","Dec-18","100","23"
"Asian","Higher","Dec-18","0","0"
"Indian","Higher","Dec-18","0","0"
"Pakistani","Higher","Dec-18","0","0"
"Bangladeshi","Higher","Dec-18","0","0"
"Chinese","Higher","Dec-18","0","0"
"Asian other","Higher","Dec-18","0","0"
"Black","Higher","Dec-18","0","0"
"Black Caribbean","Higher","Dec-18","0","0"
"Black African","Higher","Dec-18","0","0"
"Black other ","Higher","Dec-18","0","0"
"Mixed","Higher","Dec-18","0","0"
"Mixed White/Black Caribbean","Higher","Dec-18","0","0"
"Mixed White/Black African","Higher","Dec-18","0","0"
"Mixed White/Asian","Higher","Dec-18","0","0"
"Mixed other","Higher","Dec-18","0","0"
"White","Higher","Dec-18","100","23"
"White British","Higher","Dec-18","100","23"
"White other","Higher","Dec-18","0","0"
"Any other","Higher","Dec-18","0","0"
"Unknown ","Higher","Dec-18","!","16"
"All","CBE","Dec-18","100","82"
"Asian","CBE","Dec-18","2.43902439","2"
"Indian","CBE","Dec-18","2.43902439","2"
"Pakistani","CBE","Dec-18","0","0"
"Bangladeshi","CBE","Dec-18","0","0"
"Chinese","CBE","Dec-18","0","0"
"Asian other","CBE","Dec-18","0","0"
"Black","CBE","Dec-18","1.219512195","1"
"Black Caribbean","CBE","Dec-18","1.219512195","1"
"Black African","CBE","Dec-18","0","0"
"Black other ","CBE","Dec-18","0","0"
"Mixed","CBE","Dec-18","0","0"
"Mixed White/Black Caribbean","CBE","Dec-18","0","0"
"Mixed White/Black African","CBE","Dec-18","0","0"
"Mixed White/Asian","CBE","Dec-18","0","0"
"Mixed other","CBE","Dec-18","0","0"
"White","CBE","Dec-18","96.34146341","79"
"White British","CBE","Dec-18","90.24390244","74"
"White other","CBE","Dec-18","6.097560976","5"
"Any other","CBE","Dec-18","0","0"
"Unknown ","CBE","Dec-18","!","9"
"All","OBE","Dec-18","100","217"
"Asian","OBE","Dec-18","5.069124424","11"
"Indian","OBE","Dec-18","1.382488479","3"
"Pakistani","OBE","Dec-18","1.843317972","4"
"Bangladeshi","OBE","Dec-18","0","0"
"Chinese","OBE","Dec-18","0.921658986","2"
"Asian other","OBE","Dec-18","0.921658986","2"
"Black","OBE","Dec-18","4.608294931","10"
"Black Caribbean","OBE","Dec-18","3.225806452","7"
"Black African","OBE","Dec-18","0.460829493","1"
"Black other ","OBE","Dec-18","0.921658986","2"
"Mixed","OBE","Dec-18","3.225806452","7"
"Mixed White/Black Caribbean","OBE","Dec-18","1.843317972","4"
"Mixed White/Black African","OBE","Dec-18","0.460829493","1"
"Mixed White/Asian","OBE","Dec-18","0.460829493","1"
"Mixed other","OBE","Dec-18","0.460829493","1"
"White","OBE","Dec-18","87.09677419","189"
"White British","OBE","Dec-18","85.25345622","185"
"White other","OBE","Dec-18","1.843317972","4"
"Any other","OBE","Dec-18","0","0"
"Unknown ","OBE","Dec-18","!","21"
"All","MBE","Dec-18","100","351"
"Asian","MBE","Dec-18","11.96581197","42"
"Indian","MBE","Dec-18","8.262108262","29"
"Pakistani","MBE","Dec-18","2.279202279","8"
"Bangladeshi","MBE","Dec-18","0.854700855","3"
"Chinese","MBE","Dec-18","0","0"
"Asian other","MBE","Dec-18","0.56980057","2"
"Black","MBE","Dec-18","5.128205128","18"
"Black Caribbean","MBE","Dec-18","2.849002849","10"
"Black African","MBE","Dec-18","1.424501425","5"
"Black other ","MBE","Dec-18","0.854700855","3"
"Mixed","MBE","Dec-18","0.56980057","2"
"Mixed White/Black Caribbean","MBE","Dec-18","0.284900285","1"
"Mixed White/Black African","MBE","Dec-18","0","0"
"Mixed White/Asian","MBE","Dec-18","0.284900285","1"
"Mixed other","MBE","Dec-18","0","0"
"White","MBE","Dec-18","82.33618234","289"
"White British","MBE","Dec-18","82.05128205","288"
"White other","MBE","Dec-18","0.284900285","1"
"Any other","MBE","Dec-18","0","0"
"Unknown ","MBE","Dec-18","!","71"
"All","BEM","Dec-18","100","301"
"Asian","BEM","Dec-18","1.661129568","5"
"Indian","BEM","Dec-18","1.328903654","4"
"Pakistani","BEM","Dec-18","0","0"
"Bangladeshi","BEM","Dec-18","0","0"
"Chinese","BEM","Dec-18","0","0"
"Asian other","BEM","Dec-18","0.332225914","1"
"Black","BEM","Dec-18","4.318936877","13"
"Black Caribbean","BEM","Dec-18","1.993355482","6"
"Black African","BEM","Dec-18","2.325581395","7"
"Black other ","BEM","Dec-18","0","0"
"Mixed","BEM","Dec-18","1.328903654","4"
"Mixed White/Black Caribbean","BEM","Dec-18","0.332225914","1"
"Mixed White/Black African","BEM","Dec-18","0","0"
"Mixed White/Asian","BEM","Dec-18","0","0"
"Mixed other","BEM","Dec-18","0.996677741","3"
"White","BEM","Dec-18","92.6910299","279"
"White British","BEM","Dec-18","92.35880399","278"
"White other","BEM","Dec-18","0.332225914","1"
"Any other","BEM","Dec-18","0","0"
"Unknown ","BEM","Dec-18","!","57"
"All","All","Jun-18","100","1002"
"Asian","All","Jun-18","5.588822355","56"
"Indian","All","Jun-18","2.594810379","26"
"Pakistani","All","Jun-18","0.998003992","10"
"Bangladeshi","All","Jun-18","0.399201597","4"
"Chinese","All","Jun-18","0.099800399","1"
"Asian other","All","Jun-18","1.497005988","15"
"Black","All","Jun-18","2.794411178","28"
"Black Caribbean","All","Jun-18","1.097804391","11"
"Black African","All","Jun-18","1.097804391","11"
"Black other ","All","Jun-18","0.598802395","6"
"Mixed","All","Jun-18","1.29740519","13"
"Mixed White/Black Caribbean","All","Jun-18","0.199600798","2"
"Mixed White/Black African","All","Jun-18","0.499001996","5"
"Mixed White/Asian","All","Jun-18","0.299401198","3"
"Mixed other","All","Jun-18","0.299401198","3"
"White","All","Jun-18","89.72055888","899"
"White British","All","Jun-18","87.8243513","880"
"White other","All","Jun-18","1.896207585","19"
"Any other","All","Jun-18","0.598802395","6"
"Unknown ","All","Jun-18","!","75"
"All","Higher","Jun-18","100","35"
"Asian","Higher","Jun-18","2.857142857","1"
"Indian","Higher","Jun-18","0","0"
"Pakistani","Higher","Jun-18","0","0"
"Bangladeshi","Higher","Jun-18","0","0"
"Chinese","Higher","Jun-18","0","0"
"Asian other","Higher","Jun-18","2.857142857","1"
"Black","Higher","Jun-18","0","0"
"Black Caribbean","Higher","Jun-18","0","0"
"Black African","Higher","Jun-18","0","0"
"Black other ","Higher","Jun-18","0","0"
"Mixed","Higher","Jun-18","2.857142857","1"
"Mixed White/Black Caribbean","Higher","Jun-18","0","0"
"Mixed White/Black African","Higher","Jun-18","0","0"
"Mixed White/Asian","Higher","Jun-18","0","0"
"Mixed other","Higher","Jun-18","2.857142857","1"
"White","Higher","Jun-18","94.28571429","33"
"White British","Higher","Jun-18","94.28571429","33"
"White other","Higher","Jun-18","0","0"
"Any other","Higher","Jun-18","0","0"
"Unknown ","Higher","Jun-18","!","12"
"All","CBE","Jun-18","100","100"
"Asian","CBE","Jun-18","1","1"
"Indian","CBE","Jun-18","1","1"
"Pakistani","CBE","Jun-18","0","0"
"Bangladeshi","CBE","Jun-18","0","0"
"Chinese","CBE","Jun-18","0","0"
"Asian other","CBE","Jun-18","0","0"
"Black","CBE","Jun-18","4","4"
"Black Caribbean","CBE","Jun-18","1","1"
"Black African","CBE","Jun-18","3","3"
"Black other ","CBE","Jun-18","0","0"
"Mixed","CBE","Jun-18","4","4"
"Mixed White/Black Caribbean","CBE","Jun-18","1","1"
"Mixed White/Black African","CBE","Jun-18","2","2"
"Mixed White/Asian","CBE","Jun-18","0","0"
"Mixed other","CBE","Jun-18","1","1"
"White","CBE","Jun-18","90","90"
"White British","CBE","Jun-18","88","88"
"White other","CBE","Jun-18","2","2"
"Any other","CBE","Jun-18","1","1"
"Unknown ","CBE","Jun-18","!","10"
"All","OBE","Jun-18","100","176"
"Asian","OBE","Jun-18","9.659090909","17"
"Indian","OBE","Jun-18","5.113636364","9"
"Pakistani","OBE","Jun-18","1.136363636","2"
"Bangladeshi","OBE","Jun-18","0","0"
"Chinese","OBE","Jun-18","0.568181818","1"
"Asian other","OBE","Jun-18","2.840909091","5"
"Black","OBE","Jun-18","2.272727273","4"
"Black Caribbean","OBE","Jun-18","0","0"
"Black African","OBE","Jun-18","1.136363636","2"
"Black other ","OBE","Jun-18","1.136363636","2"
"Mixed","OBE","Jun-18","2.272727273","4"
"Mixed White/Black Caribbean","OBE","Jun-18","0.568181818","1"
"Mixed White/Black African","OBE","Jun-18","0.568181818","1"
"Mixed White/Asian","OBE","Jun-18","1.136363636","2"
"Mixed other","OBE","Jun-18","0","0"
"White","OBE","Jun-18","85.22727273","150"
"White British","OBE","Jun-18","80.68181818","142"
"White other","OBE","Jun-18","4.545454545","8"
"Any other","OBE","Jun-18","0.568181818","1"
"Unknown ","OBE","Jun-18","!","34"
"All","MBE","Jun-18","100","373"
"Asian","MBE","Jun-18","7.238605898","27"
"Indian","MBE","Jun-18","3.217158177","12"
"Pakistani","MBE","Jun-18","1.876675603","7"
"Bangladeshi","MBE","Jun-18","0.536193029","2"
"Chinese","MBE","Jun-18","0","0"
"Asian other","MBE","Jun-18","1.608579088","6"
"Black","MBE","Jun-18","4.825737265","18"
"Black Caribbean","MBE","Jun-18","2.680965147","10"
"Black African","MBE","Jun-18","1.340482574","5"
"Black other ","MBE","Jun-18","0.804289544","3"
"Mixed","MBE","Jun-18","0.268096515","1"
"Mixed White/Black Caribbean","MBE","Jun-18","0","0"
"Mixed White/Black African","MBE","Jun-18","0","0"
"Mixed White/Asian","MBE","Jun-18","0.268096515","1"
"Mixed other","MBE","Jun-18","0","0"
"White","MBE","Jun-18","87.13136729","325"
"White British","MBE","Jun-18","85.25469169","318"
"White other","MBE","Jun-18","1.876675603","7"
"Any other","MBE","Jun-18","0.536193029","2"
"Unknown ","MBE","Jun-18","!","19"
"All","BEM","Jun-18","100","318"
"Asian","BEM","Jun-18","3.144654088","10"
"Indian","BEM","Jun-18","1.257861635","4"
"Pakistani","BEM","Jun-18","0.314465409","1"
"Bangladeshi","BEM","Jun-18","0.628930818","2"
"Chinese","BEM","Jun-18","0","0"
"Asian other","BEM","Jun-18","0.943396226","3"
"Black","BEM","Jun-18","0.628930818","2"
"Black Caribbean","BEM","Jun-18","0","0"
"Black African","BEM","Jun-18","0.314465409","1"
"Black other ","BEM","Jun-18","0.314465409","1"
"Mixed","BEM","Jun-18","0.943396226","3"
"Mixed White/Black Caribbean","BEM","Jun-18","0","0"
"Mixed White/Black African","BEM","Jun-18","0.628930818","2"
"Mixed White/Asian","BEM","Jun-18","0","0"
"Mixed other","BEM","Jun-18","0.314465409","1"
"White","BEM","Jun-18","94.65408805","301"
"White British","BEM","Jun-18","94.02515723","299"
"White other","BEM","Jun-18","0.628930818","2"
"Any other","BEM","Jun-18","0.628930818","2"
"Unknown ","BEM","Jun-18","!","0"
"All","All","Dec-17","100","1087"
"Asian","All","Dec-17","4.599816007","50"
"Indian","All","Dec-17","2.575896964","28"
"Pakistani","All","Dec-17","0.827966881","9"
"Bangladeshi","All","Dec-17","0.367985281","4"
"Chinese","All","Dec-17","0.459981601","5"
"Asian other","All","Dec-17","0.367985281","4"
"Black","All","Dec-17","3.219871205","35"
"Black Caribbean","All","Dec-17","1.931922723","21"
"Black African","All","Dec-17","0.827966881","9"
"Black other ","All","Dec-17","0.459981601","5"
"Mixed","All","Dec-17","1.287948482","14"
"Mixed White/Black Caribbean","All","Dec-17","0.367985281","4"
"Mixed White/Black African","All","Dec-17","0.459981601","5"
"Mixed White/Asian","All","Dec-17","0.09199632","1"
"Mixed other","All","Dec-17","0.367985281","4"
"White","All","Dec-17","90.89236431","988"
"White British","All","Dec-17","88.77644894","965"
"White other","All","Dec-17","2.115915363","23"
"Any other","All","Dec-17","0","0"
"Unknown ","All","Dec-17","!","39"
"All","Higher","Dec-17","100","49"
"Asian","Higher","Dec-17","2.040816327","1"
"Indian","Higher","Dec-17","2.040816327","1"
"Pakistani","Higher","Dec-17","0","0"
"Bangladeshi","Higher","Dec-17","0","0"
"Chinese","Higher","Dec-17","0","0"
"Asian other","Higher","Dec-17","0","0"
"Black","Higher","Dec-17","2.040816327","1"
"Black Caribbean","Higher","Dec-17","0","0"
"Black African","Higher","Dec-17","0","0"
"Black other ","Higher","Dec-17","2.040816327","1"
"Mixed","Higher","Dec-17","4.081632653","2"
"Mixed White/Black Caribbean","Higher","Dec-17","0","0"
"Mixed White/Black African","Higher","Dec-17","4.081632653","2"
"Mixed White/Asian","Higher","Dec-17","0","0"
"Mixed other","Higher","Dec-17","0","0"
"White","Higher","Dec-17","91.83673469","45"
"White British","Higher","Dec-17","91.83673469","45"
"White other","Higher","Dec-17","0","0"
"Any other","Higher","Dec-17","0","0"
"Unknown ","Higher","Dec-17","!","1"
"All","CBE","Dec-17","100","95"
"Asian","CBE","Dec-17","2.105263158","2"
"Indian","CBE","Dec-17","0","0"
"Pakistani","CBE","Dec-17","0","0"
"Bangladeshi","CBE","Dec-17","0","0"
"Chinese","CBE","Dec-17","1.052631579","1"
"Asian other","CBE","Dec-17","1.052631579","1"
"Black","CBE","Dec-17","1.052631579","1"
"Black Caribbean","CBE","Dec-17","1.052631579","1"
"Black African","CBE","Dec-17","0","0"
"Black other ","CBE","Dec-17","0","0"
"Mixed","CBE","Dec-17","4.210526316","4"
"Mixed White/Black Caribbean","CBE","Dec-17","1.052631579","1"
"Mixed White/Black African","CBE","Dec-17","0","0"
"Mixed White/Asian","CBE","Dec-17","0","0"
"Mixed other","CBE","Dec-17","3.157894737","3"
"White","CBE","Dec-17","92.63157895","88"
"White British","CBE","Dec-17","89.47368421","85"
"White other","CBE","Dec-17","3.157894737","3"
"Any other","CBE","Dec-17","0","0"
"Unknown ","CBE","Dec-17","!","0"
"All","OBE","Dec-17","100","201"
"Asian","OBE","Dec-17","8.457711443","17"
"Indian","OBE","Dec-17","4.975124378","10"
"Pakistani","OBE","Dec-17","0.995024876","2"
"Bangladeshi","OBE","Dec-17","0.995024876","2"
"Chinese","OBE","Dec-17","0.995024876","2"
"Asian other","OBE","Dec-17","0.497512438","1"
"Black","OBE","Dec-17","1.990049751","4"
"Black Caribbean","OBE","Dec-17","1.492537313","3"
"Black African","OBE","Dec-17","0","0"
"Black other ","OBE","Dec-17","0.497512438","1"
"Mixed","OBE","Dec-17","0","0"
"Mixed White/Black Caribbean","OBE","Dec-17","0","0"
"Mixed White/Black African","OBE","Dec-17","0","0"
"Mixed White/Asian","OBE","Dec-17","0","0"
"Mixed other","OBE","Dec-17","0","0"
"White","OBE","Dec-17","89.55223881","180"
"White British","OBE","Dec-17","86.56716418","174"
"White other","OBE","Dec-17","2.985074627","6"
"Any other","OBE","Dec-17","0","0"
"Unknown ","OBE","Dec-17","!","10"
"All","MBE","Dec-17","100","434"
"Asian","MBE","Dec-17","5.299539171","23"
"Indian","MBE","Dec-17","2.304147465","10"
"Pakistani","MBE","Dec-17","1.612903226","7"
"Bangladeshi","MBE","Dec-17","0.460829493","2"
