"Ethnicity","Time","£"
"White","2002/04","233"
"White","2003/05","240"
"White","2004/06","263"
"White","2005/07","341"
"White","2006/08","328"
"White","2007/09","350"
"White","2008/10","375"
"White","2009/11","381"
"White","2010/12","413"
"White","2011/13","410"
"White","2012/14","381"
"White","2013/15","383"
"White","2014/16","359"
"White","2015/17","339"
"White","2016/18","334"
"White","2017/19","337"
"Other than White","2002/04","221"
"Other than White","2003/05","234"
"Other than White","2004/06","213"
"Other than White","2005/07","269"
"Other than White","2006/08","278"
"Other than White","2007/09","313"
"Other than White","2008/10","295"
"Other than White","2009/11","270"
"Other than White","2010/12","306"
"Other than White","2011/13","334"
"Other than White","2012/14","378"
"Other than White","2013/15","366"
"Other than White","2014/16","333"
"Other than White","2015/17","342"
"Other than White","2016/18","305"
"Other than White","2017/19","324"
