"","2015","2016","2017","2018","2019"
"Ethnicity","%","%","%","%","%"
"All","17","15","14","13","12"
"Asian","5","4","3","2","3"
"Black","4","4","3","2","2"
"Mixed","20","18","17","15","15"
"White","20","17","17","16","15"
"Other inc Chinese","5","4","2","3","2"
"Unknown","24","21","19","20","20"
