"Measure","Ethnicity","%"
"Child Tax Credit","All","7"
"Child Tax Credit","Asian","13"
"Child Tax Credit","Bangladeshi","22"
"Child Tax Credit","Chinese","4"
"Child Tax Credit","Indian","6"
"Child Tax Credit","Pakistani","21"
"Child Tax Credit","Asian other","12"
"Child Tax Credit","Black","13"
"Child Tax Credit","Mixed","9"
"Child Tax Credit","White","6"
"Child Tax Credit","White British","6"
"Child Tax Credit","White other","7"
"Child Tax Credit","Other","12"
"Working Tax Credit","All","4"
"Working Tax Credit","Asian","8"
"Working Tax Credit","Bangladeshi","16"
"Working Tax Credit","Chinese","2"
"Working Tax Credit","Indian","4"
"Working Tax Credit","Pakistani","13"
"Working Tax Credit","Asian other","8"
"Working Tax Credit","Black","8"
"Working Tax Credit","Mixed","4"
"Working Tax Credit","White","3"
"Working Tax Credit","White British","3"
"Working Tax Credit","White other","4"
"Working Tax Credit","Other","8"
