"","Child Tax Credit","Working Tax Credit"
"Ethnicity","%","%"
"All","7","4"
"Asian","13","8"
"Bangladeshi","22","16"
"Chinese","4","2"
"Indian","6","4"
"Pakistani","21","13"
"Asian other","12","8"
"Black","13","8"
"Mixed","9","4"
"White","6","3"
"White British","6","3"
"White other","7","4"
"Other","12","8"
