"","Council Tax Reduction","Housing Benefit","Income Support","Pension Credit"
"Ethnicity","%","%","%","%"
"All","12","10","1","3"
"Asian","10","8","1","3"
"Bangladeshi","19","20","2","3"
"Chinese","7","6","0","2"
"Indian","6","4","~0","3"
"Pakistani","12","8","2","3"
"Asian other","13","12","1","2"
"Black","18","17","2","2"
"Mixed","14","12","3","2"
"White","11","10","1","3"
"White British","12","10","2","4"
"White other","7","7","1","2"
"Other","14","15","2","2"
