"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys"
"Hertfordshire","78","65","75","62","70","56","88","83","83","67","79","66"
"Luton","75","58","75","62","81","62","!","!","78","60","77","52"
"Norfolk","78","63","80","62","68","55","!","!","78","59","78","63"
"Peterborough","72","56","69","56","76","42","100","!","72","63","74","56"
"Southend!on!Sea","80","66","81","68","71","75","!","!","81","62","81","67"
"Suffolk","77","63","76","63","72","58","!","!","77","66","78","64"
"Thurrock","81","65","82","70","81","64","100","!","80","70","81","65"
"Inner London","79","66","79","64","79","62","84","81","82","69","83","72"
"Camden","77","63","74","58","73","51","!","!","85","55","77","71"
"City of London","89","65","!","!","-","-","-","-","!","!","!","!"
"Hackney","75","63","81","69","80","65","!","100","86","78","84","72"
"Hammersmith and Fulham","80","68","80","71","79","62","!","!","83","67","85","76"
"Haringey","82","68","80","62","84","68","!","!","86","69","82","71"
"Islington","76","61","77","60","78","54","!","!","77","64","76","63"
"Kensington and Chelsea","74","65","75","36","68","64","!","!","77","61","81","70"
"Lambeth","77","64","76","65","75","60","!","!","73","63","82","71"
"Lewisham","84","71","80","68","82","64","88","71","85","76","89","76"
"Newham","81","67","82","68","82","67","!","!","81","75","84","65"
"Southwark","81","67","84","66","79","63","82","87","84","65","84","75"
"Tower Hamlets","74","60","75","60","71","56","71","75","77","70","75","63"
"Wandsworth","81","70","75","63","77","61","!","!","82","72","86","76"
"Westminster","78","64","78","63","77","61","100","!","85","69","81","71"
"Outer London","80","66","82","69","78","62","89","77","83","69","80","67"
"Barking and Dagenham","76","62","79","65","78","63","!","!","73","66","74","60"
"Barnet","81","66","86","69","76","56","88","81","84","65","83","69"
"Bexley","83","68","86","71","84","67","87","68","78","76","83","68"
"Brent","75","63","81","68","74","61","100","100","78","69","76","62"
"Bromley","83","70","87","80","79","61","91","88","84","70","83","71"
"Croydon","80","64","81","64","77","60","84","50","83","67","83","65"
"Ealing","78","65","78","69","71","63","100","!","88","69","82","66"
"Enfield","76","61","82","70","78","57","!","!","82","70","74","59"
"Greenwich","84","71","83","71","87","75","88","81","86","71","82","70"
"Harrow","79","67","84","73","59","58","!","!","85","62","76","62"
"Havering","77","64","85","65","78","57","!","!","75","64","77","65"
"Hillingdon","80","64","84","69","77","60","100","100","86","73","78","61"
"Hounslow","77","63","83","67","77","54","!","!","79","67","76","63"
"Kingston upon Thames","81","72","69","66","61","66","!","!","85","76","84","74"
"Merton","79","66","78","65","74","59","!","!","82","68","80","68"
"Redbridge","81","67","85","72","75","59","67","71","84","65","76","65"
"Richmond upon Thames","86","75","81","66","73","52","!","!","89","71","87","79"
"Sutton","78","64","81","62","82","59","92","74","75","65","77","65"
"Waltham Forest","81","68","82","65","81","62","82","60","81","74","82","71"
"South East","81","67","78","64","78","63","91","74","82","68","81","68"
"Bracknell Forest","82","68","87","72","83","65","100","100","91","79","81","68"
"Brighton and Hove","79","64","63","44","63","63","100","!","78","63","82","66"
"Buckinghamshire","80","66","72","52","77","55","100","50","78","64","82","69"
"East Sussex","82","70","80","63","83","78","100","42","82","72","82","71"
"Hampshire","83","69","78","61","82","72","88","79","80","70","83","70"
"Isle of Wight","79","65","!","!","-","!","!","!","75","56","80","65"
"Kent","81","68","82","66","85","72","!","!","84","73","81","68"
"Medway","79","64","77","59","81","66","!","!","79","61","79","64"
