"","White","Other than White"
"Time","%","%"
"2003","11.5","14.5"
"2004","11.3","15.5"
"2005","10.8","17.0"
"2006","10.1","17.6"
"2007","10.6","16.3"
"2008","11.0","18.2"
"2009","11.1","19.3"
"2010","10.6","18.6"
"2011","10.4","17.1"
"2012","9.9","17.7"
"2013","9.6","18.1"
"2014","9.8","16.8"
"2015","10.4","15.6"
"2016","10.3","17.1"
"2017","9.7","20.0"
