"","2016/17","2017/18"
"Ethnicity","Number per 100,000","Number per 100,000"
"Asian","82.1","91.9"
"Black","272.1","288.7"
"Mixed","157.0","158.4"
"White","67.0","71.8"
"Other","179.6","180.3"
