"","2016/17","2017/18"
"Ethnicity","Number per 100,000","Number per 100,000"
"Asian","",""
"Bangladeshi","107.6","129.7"
"Indian","53.2","55.7"
"Pakistani","97.4","112.6"
"Asian other","109.3","124.5"
"Black","",""
"Black African","176.7","205.6"
"Black Caribbean","249.6","254.3"
"Black other","690.6","745.9"
"Mixed","",""
"Mixed White/Asian","78.8","77.6"
"Mixed White/Black African","177.8","193.5"
"Mixed White/Black Caribbean","157.4","149.3"
"Mixed other","230.9","236.4"
"White","",""
"White British","64.3","69.0"
"White Irish","69.5","74.7"
"White other","132.8","138.9"
"Other inc Chinese","",""
"Chinese","47.8","46.3"
"Any other","436.2","432.9"
