"Ethnicity","3 year period","£"
"All","2008/09 to 2010/11","133"
"All","2009/10 to 2011/12","139"
"All","2010/11 to 2012/13","142"
"All","2011/12 to 2013/14","146"
"All","2012/13 to 2014/15","151"
"All","2013/14 to 2015/16","156"
"All","2014/15 to 2016/17","162"
"All","2015/16 to 2017/18","161"
"All","2016/17 to 2018/19","164"
"All","2017/18 to 2019/20","164"
"Asian","2008/09 to 2010/11","79"
"Asian","2009/10 to 2011/12","75"
"Asian","2010/11 to 2012/13","81"
"Asian","2011/12 to 2013/14","96"
"Asian","2012/13 to 2014/15","93"
"Asian","2013/14 to 2015/16","84"
"Asian","2014/15 to 2016/17","76"
"Asian","2015/16 to 2017/18","72"
"Asian","2016/17 to 2018/19","71"
"Asian","2017/18 to 2019/20","69"
"Black","2008/09 to 2010/11","74"
"Black","2009/10 to 2011/12","72"
"Black","2010/11 to 2012/13","68"
"Black","2011/12 to 2013/14","70"
"Black","2012/13 to 2014/15","80"
"Black","2013/14 to 2015/16","79"
"Black","2014/15 to 2016/17","71"
"Black","2015/16 to 2017/18","65"
"Black","2016/17 to 2018/19","75"
"Black","2017/18 to 2019/20","72"
"Mixed","2008/09 to 2010/11","118"
"Mixed","2009/10 to 2011/12","154"
"Mixed","2010/11 to 2012/13","?"
"Mixed","2011/12 to 2013/14","?"
"Mixed","2012/13 to 2014/15","152"
"Mixed","2013/14 to 2015/16","121"
"Mixed","2014/15 to 2016/17","97"
"Mixed","2015/16 to 2017/18","85"
"Mixed","2016/17 to 2018/19","101"
"Mixed","2017/18 to 2019/20","120"
"White","2008/09 to 2010/11","134"
"White","2009/10 to 2011/12","142"
"White","2010/11 to 2012/13","144"
"White","2011/12 to 2013/14","149"
"White","2012/13 to 2014/15","154"
"White","2013/14 to 2015/16","160"
"White","2014/15 to 2016/17","166"
"White","2015/16 to 2017/18","165"
"White","2016/17 to 2018/19","168"
"White","2017/18 to 2019/20","169"
"White British","2008/09 to 2010/11","135"
"White British","2009/10 to 2011/12","142"
"White British","2010/11 to 2012/13","145"
"White British","2011/12 to 2013/14","150"
"White British","2012/13 to 2014/15","155"
"White British","2013/14 to 2015/16","161"
"White British","2014/15 to 2016/17","167"
"White British","2015/16 to 2017/18","166"
"White British","2016/17 to 2018/19","170"
"White British","2017/18 to 2019/20","171"
"White Other","2008/09 to 2010/11","121"
"White Other","2009/10 to 2011/12","126"
"White Other","2010/11 to 2012/13","115"
"White Other","2011/12 to 2013/14","105"
"White Other","2012/13 to 2014/15","108"
"White Other","2013/14 to 2015/16","111"
"White Other","2014/15 to 2016/17","109"
"White Other","2015/16 to 2017/18","102"
"White Other","2016/17 to 2018/19","106"
"White Other","2017/18 to 2019/20","101"
"Other","2008/09 to 2010/11","120"
"Other","2009/10 to 2011/12","134"
"Other","2010/11 to 2012/13","140"
"Other","2011/12 to 2013/14","154"
"Other","2012/13 to 2014/15","157"
"Other","2013/14 to 2015/16","144"
"Other","2014/15 to 2016/17","127"
"Other","2015/16 to 2017/18","134"
"Other","2016/17 to 2018/19","114"
"Other","2017/18 to 2019/20","132"
