"Ethnicity","Occupation","%"
"All","Managers, Directors and Senior Officials","11"
"All","Professional","21"
"All","Associate Professional and Technical","15"
"All","Administrative and Secretarial","10"
"All","Skilled Trades","10"
"All","Caring, Leisure and Other Service","9"
"All","Sales and Customer Service","8"
"All","Process, Plant and Machine Operatives","6"
"All","Elementary","10"
"Asian","Managers, Directors and Senior Officials","10"
"Asian","Professional","27"
"Asian","Associate Professional and Technical","12"
"Asian","Administrative and Secretarial","9"
"Asian","Skilled Trades","6"
"Asian","Caring, Leisure and Other Service","8"
"Asian","Sales and Customer Service","10"
"Asian","Process, Plant and Machine Operatives","9"
"Asian","Elementary","11"
"Indian","Managers, Directors and Senior Officials","11"
"Indian","Professional","33"
"Indian","Associate Professional and Technical","14"
"Indian","Administrative and Secretarial","9"
"Indian","Skilled Trades","5"
"Indian","Caring, Leisure and Other Service","7"
"Indian","Sales and Customer Service","7"
"Indian","Process, Plant and Machine Operatives","5"
"Indian","Elementary","9"
"Pakistani, Bangladeshi","Managers, Directors and Senior Officials","8"
"Pakistani, Bangladeshi","Professional","18"
"Pakistani, Bangladeshi","Associate Professional and Technical","10"
"Pakistani, Bangladeshi","Administrative and Secretarial","8"
"Pakistani, Bangladeshi","Skilled Trades","7"
"Pakistani, Bangladeshi","Caring, Leisure and Other Service","8"
"Pakistani, Bangladeshi","Sales and Customer Service","14"
"Pakistani, Bangladeshi","Process, Plant and Machine Operatives","15"
"Pakistani, Bangladeshi","Elementary","12"
"Asian Other","Managers, Directors and Senior Officials","9"
"Asian Other","Professional","29"
"Asian Other","Associate Professional and Technical","11"
"Asian Other","Administrative and Secretarial","9"
"Asian Other","Skilled Trades","6"
"Asian Other","Caring, Leisure and Other Service","9"
"Asian Other","Sales and Customer Service","9"
"Asian Other","Process, Plant and Machine Operatives","5"
"Asian Other","Elementary","12"
"Black","Managers, Directors and Senior Officials","5"
"Black","Professional","21"
"Black","Associate Professional and Technical","12"
"Black","Administrative and Secretarial","9"
"Black","Skilled Trades","6"
"Black","Caring, Leisure and Other Service","18"
"Black","Sales and Customer Service","7"
"Black","Process, Plant and Machine Operatives","7"
"Black","Elementary","16"
"Mixed","Managers, Directors and Senior Officials","9"
"Mixed","Professional","23"
"Mixed","Associate Professional and Technical","19"
"Mixed","Administrative and Secretarial","9"
"Mixed","Skilled Trades","6"
"Mixed","Caring, Leisure and Other Service","9"
"Mixed","Sales and Customer Service","9"
"Mixed","Process, Plant and Machine Operatives","5"
"Mixed","Elementary","12"
"White","Managers, Directors and Senior Officials","11"
"White","Professional","20"
"White","Associate Professional and Technical","15"
"White","Administrative and Secretarial","10"
"White","Skilled Trades","11"
"White","Caring, Leisure and Other Service","9"
"White","Sales and Customer Service","7"
"White","Process, Plant and Machine Operatives","6"
"White","Elementary","10"
"White British","Managers, Directors and Senior Officials","11"
"White British","Professional","20"
"White British","Associate Professional and Technical","15"
"White British","Administrative and Secretarial","11"
"White British","Skilled Trades","11"
"White British","Caring, Leisure and Other Service","9"
"White British","Sales and Customer Service","8"
"White British","Process, Plant and Machine Operatives","6"
"White British","Elementary","10"
"White Other","Managers, Directors and Senior Officials","10"
"White Other","Professional","21"
"White Other","Associate Professional and Technical","13"
"White Other","Administrative and Secretarial","8"
"White Other","Skilled Trades","10"
"White Other","Caring, Leisure and Other Service","7"
"White Other","Sales and Customer Service","5"
"White Other","Process, Plant and Machine Operatives","10"
"White Other","Elementary","15"
"Other","Managers, Directors and Senior Officials","10"
"Other","Professional","21"
"Other","Associate Professional and Technical","12"
"Other","Administrative and Secretarial","7"
"Other","Skilled Trades","10"
"Other","Caring, Leisure and Other Service","9"
"Other","Sales and Customer Service","7"
"Other","Process, Plant and Machine Operatives","8"
"Other","Elementary","15"
