"Gender","Ethnicity","%","Pupils"
"Boys","All","48.2","293,649"
"Boys","Asian","57.1","32,822"
"Boys","Bangladeshi","58.1","5,148"
"Boys","Indian","68.4","8,711"
"Boys","Pakistani","46.8","13,246"
"Boys","Asian other","62.8","5,717"
"Boys","Black","43.6","17,473"
"Boys","Black African","48.2","11,552"
"Boys","Black Caribbean","30.9","3,604"
"Boys","Black other","40.6","2,317"
"Boys","Chinese","81.3","1,025"
"Boys","Mixed","48.3","15,997"
"Boys","Mixed White/Asian","58.7","3,910"
"Boys","Mixed White/Black African","47.0","2,083"
"Boys","Mixed White/Black Caribbean","35.3","4,135"
"Boys","Mixed other","51.0","5,869"
"Boys","White","47.2","215,374"
"Boys","White British","47.2","197,283"
"Boys","White Irish","58.4","873"
"Boys","Gypsy/Roma","9.0","720"
"Boys","Irish Traveller","22.2","99"
"Boys","White other","48.6","16,399"
"Boys","Other","49.4","5,818"
"Boys","Unknown","40.9","5,140"
"Girls","All","55.8","282,214"
"Girls","Asian","64.4","30,882"
"Girls","Bangladeshi","63.1","5,099"
"Girls","Indian","76.7","8,190"
"Girls","Pakistani","54.0","12,505"
"Girls","Asian other","71.8","5,088"
"Girls","Black","54.1","17,438"
"Girls","Black African","58.9","11,688"
"Girls","Black Caribbean","41.0","3,538"
"Girls","Black other","49.8","2,212"
"Girls","Chinese","86.2","1,076"
"Girls","Mixed","54.8","15,775"
"Girls","Mixed White/Asian","65.7","3,621"
"Girls","Mixed White/Black African","53.1","2,010"
"Girls","Mixed White/Black Caribbean","42.9","4,261"
"Girls","Mixed other","57.4","5,883"
"Girls","White","54.8","206,621"
"Girls","White British","54.8","189,286"
"Girls","White Irish","63.4","848"
"Girls","Gypsy/Roma","9.2","705"
"Girls","Irish Traveller","19.4","72"
"Girls","White other","56.5","15,710"
"Girls","Other","57.0","5,447"
"Girls","Unknown","45.3","4,975"
