"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","83%","84%","78%","80%","83%","81%"
"Level 4 and above","90%","92%","85%","94%","90%","90%"
"Level 3","86%","84%","82%","81%","87%","?"
"Level 2","81%","73%","73%","64%","82%","?"
"Below Level 2","77%","75%","69%","?","78%","?"
"Other qualifications","86%","82%","83%","?","86%","85%"
"No qualifications","56%","67%","54%","?","54%","59%"
