"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","74%","58%","72%","73%","76%","61%"
"Level 4 and above","84%","74%","82%","83%","85%","74%"
"Level 3","79%","59%","74%","74%","81%","58%"
"Level 2","71%","52%","63%","66%","72%","?"
"Below Level 2","63%","43%","65%","?","65%","?"
"Other qualifications","66%","49%","68%","?","72%","47%"
"No qualifications","38%","22%","35%","?","41%","27%"
