"","All","Children","Working-age","Pensioners"
"Ethnicity","%","%","%","%"
"All","17","21","15","18"
"Asian","28","34","25","32"
"Bangladeshi","35","42","31","?"
"Chinese","25","31","22","?"
"Indian","18","18","15","32"
"Pakistani","41","46","39","37"
"Asian other","24","28","23","?"
"Black","27","32","24","23"
"Mixed","19","27","15","?"
"White","16","19","14","18"
"White British","16","18","14","18"
"White other","16","22","13","22"
"Other","27","36","24","?"
