"category","Category ","%","Number "
"All","Asian","5.4","51"
"All","Black","3.2","30"
"All","Mixed","1.2","11"
"All","White","89.6","841"
"All","Other inc Chinese","0.6","6"
"Higher","Asian","0.0","0"
"Higher","Black","3.2","1"
"Higher","Mixed","0.0","0"
"Higher","White","96.8","30"
"Higher","Other inc Chinese","0.0","0"
"CBE","Asian","2.1","2"
"CBE","Black","4.2","4"
"CBE","Mixed","1.1","1"
"CBE","White","92.6","88"
"CBE","Other inc Chinese","0.0","0"
"OBE","Asian","8.4","16"
"OBE","Black","4.7","9"
"OBE","Mixed","2.1","4"
"OBE","White","84.3","161"
"OBE","Other inc Chinese","0.5","1"
"MBE","Asian","6.5","22"
"MBE","Black","3.2","11"
"MBE","Mixed","1.5","5"
"MBE","White","87.3","296"
"MBE","Other inc Chinese","1.5","5"
"BEM","Asian","3.9","11"
"BEM","Black","2.1","6"
"BEM","Mixed","0.4","1"
"BEM","White","93.7","266"
"BEM","Other inc Chinese","0.0","0"
