"Category","Ethnicity","%","Number"
"All","All","100.0","1,107"
"All","Asian","6.8","75"
"All","Black","4.2","46"
"All","Mixed","3.3","37"
"All","White","85.0","941"
"All","Other","0.7","8"
"Higher","All","100.0","33"
"Higher","Asian","3.0","1"
"Higher","Black","0.0","0"
"Higher","Mixed","0.0","0"
"Higher","White","97.0","32"
"Higher","Other","0.0","0"
"CBE","All","100.0","104"
"CBE","Asian","7.7","8"
"CBE","Black","3.8","4"
"CBE","Mixed","3.8","4"
"CBE","White","84.6","88"
"CBE","Other","0.0","0"
"OBE","All","100.0","198"
"OBE","Asian","6.6","13"
"OBE","Black","4.5","9"
"OBE","Mixed","5.6","11"
"OBE","White","82.3","163"
"OBE","Other","1.0","2"
"MBE","All","100.0","451"
"MBE","Asian","6.9","31"
"MBE","Black","4.2","19"
"MBE","Mixed","3.8","17"
"MBE","White","84.3","380"
"MBE","Other","0.9","4"
"BEM","All","100.0","321"
"BEM","Asian","6.9","22"
"BEM","Black","4.4","14"
"BEM","Mixed","1.6","5"
"BEM","White","86.6","278"
"BEM","Other","0.6","2"
