"","Wages and salaries","Self-employed income","All other sources"
"Ethnicity","Value","Value","Value"
"All","63","9","26"
"Asian","68","11","22"
"Bangladeshi","58","7","35"
"Chinese","56","11","35"
"Indian","76","10","14"
"Pakistani","56","14","30"
"Asian other","66","10","24"
"Black","66","8","24"
"Mixed","73","6","22"
"White","63","9","29"
"White British","62","9","30"
"White other","74","13","13"
"Other","68","11","21"
