"Ethnicity","Duration","%"
"All","0-3 months","44"
"All","12+ months","25"
"All","3-12 months","31"
"White","0-3 months","44"
"White","12+ months","25"
"White","3-12 months","31"
"Other than White","0-3 months","42"
"Other than White","12+ months","23"
"Other than White","3-12 months","34"
