"","Education, apprenticeships or employment","Education","Apprenticeships","Employment","No sustained education/employment","Unknown"
"Ethnicity","%","%","%","%","%","%"
"All","94","86","5","3","5","1"
"Asian","95","93","1","1","3","1"
"Bangladeshi","95","93","2","1","4","1"
"Indian","97","96","1","1","2","1"
"Pakistani","94","92","1","1","4","1"
"Asian other","95","93","1","1","3","2"
"Black","94","92","1","1","4","2"
"Black African","95","93","1","1","3","2"
"Black Caribbean","93","89","2","2","6","1"
"Black other","94","90","2","1","5","2"
"Chinese","98","97","0","0","1","1"
"Mixed","92","87","3","2","6","1"
"Mixed White/Asian","94","89","3","2","5","1"
"Mixed White/Black African","93","89","3","2","5","1"
"Mixed White/Black Caribbean","91","83","4","3","8","1"
"Mixed other","93","89","2","2","5","2"
"White","94","85","6","3","5","1"
"White British","94","85","6","4","5","1"
"White Irish","94","88","4","2","5","1"
"Gypsy/Roma","66","56","3","7","25","9"
"Irish Traveller","73","55","8","11","20","6"
"White other","93","89","2","2","5","3"
"Other","93","91","1","1","4","3"
"Unknown","90","83","4","4","8","2"
